#: :type=:list
#source	HGNC_name	dbTF	coTF	in_AGS
ARID1A	AT-rich interaction domain 1A [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
DMAP1	DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
DNMT3A	DNA methyltransferase 3 alpha [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
DNMT3B	DNA methyltransferase 3 beta [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ENO1	enolase 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ID1	inhibitor of DNA binding 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KAT6A	lysine acetyltransferase 6A [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KDM5A	lysine demethylase 5A [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KMT2D	lysine methyltransferase 2D [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MIER3	MIER family member 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MTA1	metastasis associated 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MTA2	metastasis associated 1 family member 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MTA3	metastasis associated 1 family member 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NCOR1	nuclear receptor corepressor 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NOTCH1	notch receptor 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
PPP1R13L	protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
RCOR1	REST corepressor 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
RCOR3	REST corepressor 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
RERE	arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SMAD7	SMAD family member 7 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SMARCC1	SWI/SNF related|matrix associated|actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SMARCC2	SWI/SNF related|matrix associated|actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SMARCE1	SWI/SNF related|matrix associated|actin dependent regulator of chromatin|subfamily e|member 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
TADA2B	transcriptional adaptor 2B [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ID4	inhibitor of DNA binding 4 [Source:HGNC Symbol	dbTF	coTF	
NR0B2	nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol	dbTF	coTF	
RCOR2	REST corepressor 2 [Source:HGNC Symbol	dbTF	coTF	
TADA2A	transcriptional adaptor 2A [Source:HGNC Symbol	dbTF	coTF	
TOX2	TOX high mobility group box family member 2 [Source:HGNC Symbol	dbTF	coTF	
AEBP2	AE binding protein 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ARID3A	AT-rich interaction domain 3A [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ARID5A	AT-rich interaction domain 5A [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
BCL3	BCL3 transcription coactivator [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
CAMTA1	calmodulin binding transcription activator 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
CAMTA2	calmodulin binding transcription activator 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
CEBPZ	CCAAT enhancer binding protein zeta [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
FBXL19	F-box and leucine rich repeat protein 19 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
FIZ1	FLT3 interacting zinc finger 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
FLYWCH1	FLYWCH-type zinc finger 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
HDGF	heparin binding growth factor [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ID3	inhibitor of DNA binding 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
JAZF1	JAZF zinc finger 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KAT7	lysine acetyltransferase 7 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KAT8	lysine acetyltransferase 8 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KDM2A	lysine demethylase 2A [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KDM2B	lysine demethylase 2B [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
KDM5B	lysine demethylase 5B [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
LCOR	ligand dependent nuclear receptor corepressor [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MECP2	methyl-CpG binding protein 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MIER1	MIER1 transcriptional regulator [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
MYSM1	Myb like|SWIRM and MPN domains 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NCOA1	nuclear receptor coactivator 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NCOA2	nuclear receptor coactivator 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
NME2	NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SPEN	spen family transcriptional repressor [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SRCAP	Snf2 related CREBBP activator protein [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
SS18L1	SS18L1 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
TCERG1	transcription elongation regulator 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
TMF1	TATA element modulatory factor 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
TOX3	TOX high mobility group box family member 3 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
TRERF1	transcriptional regulating factor 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ZBED1	zinc finger BED-type containing 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ZFPM1	zinc finger protein|FOG family member 1 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
ZNF410	zinc finger protein 410 [Source:HGNC Symbol	dbTF	coTF	dbTFs_OR_coTFs_in_AGS
