""	"synthesis"	"processing"	"degradation"	"geneClass"
"ENSG00000000003"	1	1	1	"no-reg"
"ENSG00000000419"	0.847349131690731	1	1	"no-reg"
"ENSG00000000457"	1	0.72503676027614	0.0167561416111659	"d"
"ENSG00000000460"	1	1	7.2471009337218e-11	"d"
"ENSG00000001036"	0.770281756902932	1	1	"no-reg"
"ENSG00000001084"	0.599905911895013	0.683709471245612	0.750016589201659	"no-reg"
"ENSG00000001167"	0.0137417453438381	1	1	"s"
"ENSG00000001460"	0.0002851290146428	1	1	"s"
"ENSG00000001461"	0.637986480322333	1	2.51939307022849e-05	"d"
"ENSG00000001497"	1	1	0.059880396086342	"no-reg"
"ENSG00000001561"	1	1	0.0652176476141536	"no-reg"
"ENSG00000001617"	1	1	1	"no-reg"
"ENSG00000001626"	9.24610597211342e-05	1	1	"s"
"ENSG00000001629"	7.44813464922245e-12	1	1	"s"
"ENSG00000002016"	1.82870016782006e-07	1	1	"s"
"ENSG00000002079"	1	1	1	"no-reg"
"ENSG00000002330"	0.217724975445231	1	1	"no-reg"
"ENSG00000002549"	1	1	0.0016541999711039	"d"
"ENSG00000002586"	1	1	1	"no-reg"
"ENSG00000002587"	0.615476888814819	1	0.842653310909978	"no-reg"
"ENSG00000002726"	0.740099129269151	1	1	"no-reg"
"ENSG00000002746"	1	1	1	"no-reg"
"ENSG00000002834"	8.15007059074347e-10	0.953880687509786	1	"s"
"ENSG00000002919"	1	1	1	"no-reg"
"ENSG00000003056"	0.993015810893368	1	1	"no-reg"
"ENSG00000003096"	1	1	1	"no-reg"
"ENSG00000003137"	1	1	0.0196772843420825	"d"
"ENSG00000003147"	5.34284114981653e-09	0.134714330145931	1	"s"
"ENSG00000003249"	1.31681611715656e-11	1	1	"s"
"ENSG00000003393"	1	0.648793884928277	0.0552495008409886	"no-reg"
"ENSG00000003400"	0.00194514000997902	1	1	"s"
"ENSG00000003402"	1	0.0225047319059355	4.74430216610697e-09	"pd"
"ENSG00000003436"	1	1	1	"no-reg"
"ENSG00000003509"	0.137532177289818	1	1	"no-reg"
"ENSG00000003756"	0.132825823149295	1	1	"no-reg"
"ENSG00000003987"	1	1	1	"no-reg"
"ENSG00000003989"	1	1	1.67763786511655e-05	"d"
"ENSG00000004059"	0.00564504774636381	1	1	"s"
"ENSG00000004139"	0.0618183637947386	1	1	"no-reg"
"ENSG00000004142"	0.607426379437644	1	1	"no-reg"
"ENSG00000004399"	1	1	1	"no-reg"
"ENSG00000004455"	1	1	3.5649162029668e-06	"d"
