""	"synthesis"	"processing"	"degradation"	"geneClass"
"ENSG00000000003"	0.00129205456597264	1	1	"s"
"ENSG00000000419"	0.778930117069629	1	1	"no-reg"
"ENSG00000000457"	1	1	0.0433427264713791	"d"
"ENSG00000000460"	0.000340613619359633	1	0.700112411852279	"s"
"ENSG00000001036"	1	1	1	"no-reg"
"ENSG00000001084"	0.0763553362134029	1	1	"no-reg"
"ENSG00000001167"	0.339166793708648	1	2.16002274258819e-07	"d"
"ENSG00000001460"	0.639337501384563	1	0.000364724053052419	"d"
"ENSG00000001461"	0.000778249771527057	1	0.0173191798415027	"sd"
"ENSG00000001497"	1	1	8.78797715069273e-05	"d"
"ENSG00000001561"	0.909404878131684	1	0.0312345437671792	"d"
"ENSG00000001617"	0.0337627982021178	1	0.001428908577266	"sd"
"ENSG00000001626"	0.0021209266910121	1	0.146248481968521	"s"
"ENSG00000001629"	0.237105219828906	1	0.352331712279187	"no-reg"
"ENSG00000002016"	2.48619090601928e-07	1	1	"s"
"ENSG00000002079"	1	1	0.441448423845231	"no-reg"
"ENSG00000002330"	0.4031600238992	1	0.904091395517514	"no-reg"
"ENSG00000002549"	0.000388573211733941	1	1	"s"
"ENSG00000002586"	0.0507642492390907	1	1	"no-reg"
"ENSG00000002587"	0.0957621650122471	1	1	"no-reg"
"ENSG00000002726"	0.0295302841170699	1	1	"s"
"ENSG00000002746"	0.956023282713741	1	1	"no-reg"
"ENSG00000002834"	0.000351111827489296	1	0.793436706782777	"s"
"ENSG00000002919"	0.95017930104316	1	1	"no-reg"
"ENSG00000003056"	0.86573953069049	1	1	"no-reg"
"ENSG00000003096"	0.995185668392289	1	1	"no-reg"
"ENSG00000003137"	1	1	0.01089136615722	"d"
"ENSG00000003147"	9.04290479086235e-07	1	0.0118854524209114	"sd"
"ENSG00000003249"	1	1	0.0386723589223123	"d"
"ENSG00000003393"	0.707717361345956	1	0.737894035822921	"no-reg"
"ENSG00000003400"	1.33895856757502e-06	1	0.943557098528927	"s"
"ENSG00000003402"	1	0.697672839901717	1.00309931154716e-15	"d"
"ENSG00000003509"	1	1	0.729667896461894	"no-reg"
"ENSG00000003756"	0.76824859819118	1	0.044731192365713	"d"
"ENSG00000003987"	1	1	1	"no-reg"
"ENSG00000003989"	1	1	0.149793454477627	"no-reg"
"ENSG00000004059"	0.0717331442510066	1	1	"no-reg"
"ENSG00000004139"	0.0536275433286982	1	0.782205117326274	"no-reg"
"ENSG00000004142"	0.0338241919276595	1	1	"s"
"ENSG00000004399"	0.927480403834072	1	1	"no-reg"
"ENSG00000004455"	6.06203179300777e-08	1	1	"s"
"ENSG00000004468"	1	1	1	"no-reg"
"ENSG00000004478"	0.0209195380854641	1	0.0719995385129798	"s"
"ENSG00000004487"	0.0428772850380417	1	1	"s"
"ENSG00000004534"	0.927133116508828	1	0.247789960342824	"no-reg"
"ENSG00000004660"	7.74399230157774e-05	1	1	"s"
"ENSG00000004700"	0.072802027373297	1	1	"no-reg"
