""	"synthesis"	"processing"	"degradation"	"geneClass"
"ENSG00000000003"	8.19611107183296e-07	1	1	"s"
"ENSG00000000419"	0.29401552657331	1	0.296613798198377	"no-reg"
"ENSG00000000457"	1	1	0.0894985038295574	"no-reg"
"ENSG00000000460"	5.10696960479842e-05	1	0.0238504217223505	"sd"
"ENSG00000001036"	0.277959576704443	1	0.785008434853497	"no-reg"
"ENSG00000001084"	0.0389468849814205	1	1	"s"
"ENSG00000001167"	0.000488402928120404	1	0.0187064850558554	"sd"
"ENSG00000001460"	1	1	0.00670085215131054	"d"
"ENSG00000001461"	3.86829106644459e-05	1	1.21924233171233e-06	"sd"
"ENSG00000001497"	0.663562573372607	1	5.65955125756448e-08	"d"
"ENSG00000001561"	0.0035086289477015	1	1	"s"
"ENSG00000001617"	9.80272151730874e-15	1	1	"s"
"ENSG00000001626"	7.46715769231674e-14	1	1	"s"
"ENSG00000001629"	3.41217521855558e-08	1	1	"s"
"ENSG00000002016"	0.00166109194173776	0.164262152685032	1	"s"
"ENSG00000002079"	0.764753067378207	1	1	"no-reg"
"ENSG00000002330"	0.00141125656022242	1	1	"s"
"ENSG00000002549"	0.000713924869380971	1	0.906342392195889	"s"
"ENSG00000002586"	1.99840211482846e-05	1	0.844876610880443	"s"
"ENSG00000002587"	1	1	0.00175195845254582	"d"
"ENSG00000002726"	1	1	0.000595496606177617	"d"
"ENSG00000002746"	1	1	1	"no-reg"
"ENSG00000002834"	0.00061087468445405	1	0.117017542141705	"s"
"ENSG00000002919"	0.00105491169348149	1	1	"s"
"ENSG00000003056"	1	1	1	"no-reg"
"ENSG00000003096"	1	1	1	"no-reg"
"ENSG00000003137"	1	1	0.147740679621215	"no-reg"
"ENSG00000003147"	1	3.85124601629864e-14	6.16896451300268e-24	"pd"
"ENSG00000003249"	1	0.0597292367071601	0.344484936123803	"no-reg"
"ENSG00000003393"	1	1	0.416649577351586	"no-reg"
"ENSG00000003400"	2.16019008043965e-06	1	1	"s"
"ENSG00000003402"	2.98233415407313e-11	1	0.566678842858443	"s"
"ENSG00000003436"	0.979028101138112	1	1	"no-reg"
"ENSG00000003509"	0.341190488446858	1	0.496788398936512	"no-reg"
"ENSG00000003756"	0.00257414315327402	1	1	"s"
"ENSG00000003987"	1	1	1	"no-reg"
"ENSG00000003989"	1	1	0.345901085128921	"no-reg"
"ENSG00000004059"	0.469923144160542	1	0.87709060298043	"no-reg"
"ENSG00000004139"	0.0190307189241198	1	1	"s"
"ENSG00000004142"	0.00987838503856112	1	1	"s"
"ENSG00000004399"	1	1	0.921708565707687	"no-reg"
"ENSG00000004455"	1.08142022666441e-10	1	1	"s"
"ENSG00000004468"	1	1	1	"no-reg"
"ENSG00000004478"	0.996891379111054	0.0468707109494949	1	"p"
"ENSG00000004487"	0.8178832052668	1	0.141829179129637	"no-reg"
"ENSG00000004534"	0.000535930179477362	1	1	"s"
"ENSG00000004660"	0.130871989634046	1	1	"no-reg"
"ENSG00000004700"	0.0952764538636818	1	1	"no-reg"
"ENSG00000004766"	0.00417226695069534	1	1	"s"
"ENSG00000004777"	1	1	0.813922009401065	"no-reg"
"ENSG00000004779"	9.11836816195619e-14	0.201168195935889	1	"s"
"ENSG00000004838"	1	1	1	"no-reg"
"ENSG00000004864"	2.91087230005273e-05	1	0.674449301765423	"s"
"ENSG00000004866"	0.00026579746250706	1	1	"s"
"ENSG00000004897"	0.864892209459447	1	1.10071214723868e-05	"d"
"ENSG00000004961"	0.405961343741083	1	1	"no-reg"
"ENSG00000004975"	3.74788360671069e-09	1	1	"s"
"ENSG00000005001"	4.52239842768108e-19	0.0109210195282409	1	"sp"
"ENSG00000005007"	0.000456083359972017	1	0.625296692717566	"s"
"ENSG00000005020"	0.300058017601293	1	0.777204534988163	"no-reg"
"ENSG00000005022"	0.0528159704613258	1	0.218013179885111	"no-reg"
"ENSG00000005059"	0.00515238688148316	1	1	"s"
"ENSG00000005075"	1	1	4.67491531904992e-08	"d"
"ENSG00000005100"	1	1	0.0647460707284255	"no-reg"
"ENSG00000005156"	0.00083651197856693	1	1	"s"
"ENSG00000005175"	1	1	0.0145299472045212	"d"
"ENSG00000005187"	0.000301658837442373	1	1	"s"
"ENSG00000005189"	1	1	1	"no-reg"
"ENSG00000005194"	0.000133114039324568	1	0.125642302187297	"s"
"ENSG00000005206"	5.33698270144107e-09	1	1	"s"
"ENSG00000005238"	0.000522247588807408	1	1	"s"
"ENSG00000005302"	0.320629673387499	1	1	"no-reg"
"ENSG00000005339"	0.0452671915246456	1	1	"s"
"ENSG00000005379"	0.0829380231531825	1	1	"no-reg"
"ENSG00000005436"	0.0744506638743419	1	0.0684933860191377	"no-reg"
"ENSG00000005448"	0.00461137636304649	1	1	"s"
"ENSG00000005469"	0.104914695881013	0.460419307522664	0.0171949978760779	"d"
"ENSG00000005483"	7.19804148114268e-07	1	1	"s"
"ENSG00000005486"	0.000234039200228725	1	0.76054036205593	"s"
"ENSG00000005700"	0.123279024110886	1	0.42690269095007	"no-reg"
"ENSG00000005801"	0.191057402895671	1	1	"no-reg"
"ENSG00000005810"	0.000438142935536083	1	1	"s"
"ENSG00000005812"	0.0968164322990494	1	1	"no-reg"
"ENSG00000005882"	8.82566194499857e-09	1	1	"s"
"ENSG00000005884"	1	4.42807815223971e-08	2.30933624797195e-11	"pd"
"ENSG00000005889"	0.0056829199969351	1	1	"s"
"ENSG00000005893"	2.28148044204198e-07	0.690696344355207	1	"s"
"ENSG00000005961"	0.496280851026863	1	1	"no-reg"
"ENSG00000006007"	0.35089894001817	1	0.549694393474965	"no-reg"
"ENSG00000006015"	0.0975832432678688	1	1	"no-reg"
"ENSG00000006016"	1	1	1	"no-reg"
"ENSG00000006025"	0.000400735258475403	0.34676956965889	1	"s"
"ENSG00000006042"	0.00137951832478699	1	1	"s"
"ENSG00000006047"	1	1	1	"no-reg"
"ENSG00000006062"	2.10760733331838e-07	1	1	"s"
"ENSG00000006118"	1.70762778965925e-07	1	1	"s"
"ENSG00000006125"	0.0267329432140237	1	1	"s"
"ENSG00000006194"	1	1	1	"no-reg"
"ENSG00000006282"	0.000379188394853085	1	0.0162381407011556	"sd"
"ENSG00000006283"	1	1	1	"no-reg"
"ENSG00000006327"	2.06421182261736e-26	1	1.01537815293193e-05	"sd"
"ENSG00000006432"	0.00360521348324985	1	1	"s"
"ENSG00000006451"	1	1	0.00317730690027388	"d"
"ENSG00000006453"	2.9974406991192e-09	8.1588030373229e-06	1	"sp"
"ENSG00000006459"	0.399991201385089	1	0.00347581116399759	"d"
"ENSG00000006468"	2.52727852608454e-07	1	1	"s"
"ENSG00000006530"	0.91779852191305	1	0.000153962130672766	"d"
"ENSG00000006534"	1.15191452192331e-14	0.540049737006643	1	"s"
"ENSG00000006576"	1	1	1	"no-reg"
"ENSG00000006606"	1	1	0.00220235833529799	"d"
"ENSG00000006607"	1	1	1	"no-reg"
"ENSG00000006611"	3.43396933334693e-20	1	1	"s"
"ENSG00000006634"	1	1	0.00475401718110115	"d"
"ENSG00000006652"	0.532041962090836	1	0.856814325313129	"no-reg"
"ENSG00000006695"	1	1	0.00781531406650551	"d"
"ENSG00000006704"	1	1	1	"no-reg"
"ENSG00000006712"	1.59781371043042e-15	1	1	"s"
"ENSG00000006715"	1.50655824013643e-14	1	1	"s"
"ENSG00000006740"	1	1	0.233342033725444	"no-reg"
"ENSG00000006744"	5.79800444047533e-09	1	6.90091691258517e-06	"sd"
"ENSG00000006756"	2.76218631889617e-14	0.584413811424834	1	"s"
"ENSG00000006757"	0.523079051692531	1	0.647193994643663	"no-reg"
"ENSG00000006831"	0.937887664378282	1	1	"no-reg"
"ENSG00000007047"	1.11533944949681e-10	0.0513799337942148	1	"s"
"ENSG00000007062"	0.752910739305022	1	1	"no-reg"
"ENSG00000007080"	1	1	4.50444297332478e-09	"d"
"ENSG00000007129"	1	1	1	"no-reg"
"ENSG00000007168"	0.000290123028840522	1	0.655573508569414	"s"
"ENSG00000007171"	5.36573995178707e-11	1	0.91851510438145	"s"
"ENSG00000007202"	2.11483142487648e-06	0.849041998430658	1	"s"
"ENSG00000007237"	1	1	1	"no-reg"
"ENSG00000007255"	1.33422790931994e-09	1	6.90097668006725e-05	"sd"
"ENSG00000007264"	1	1	1	"no-reg"
"ENSG00000007341"	0.812028583606324	1	1	"no-reg"
"ENSG00000007350"	0.822105217691913	1	1	"no-reg"
"ENSG00000007376"	1	1	7.65515485209943e-06	"d"
"ENSG00000007384"	1	1.94485104165317e-05	4.48858132586962e-06	"pd"
"ENSG00000007392"	0.796188864106587	0.601392032632778	1	"no-reg"
"ENSG00000007402"	1	1	0.996518275436666	"no-reg"
"ENSG00000007516"	0.636484733261768	1	1	"no-reg"
"ENSG00000007520"	0.380981794872063	1	1	"no-reg"
"ENSG00000007541"	2.80208401971597e-05	1	1	"s"
"ENSG00000007545"	5.29968255770422e-06	1	1	"s"
"ENSG00000007866"	1.01042619640713e-09	1	0.837794559464359	"s"
"ENSG00000007923"	1	1	4.81029631270322e-13	"d"
"ENSG00000007944"	0.916345236366012	1	1	"no-reg"
"ENSG00000007952"	1	1	0.991428257061682	"no-reg"
"ENSG00000007968"	4.97535558007407e-11	1	0.00783667697069984	"sd"
"ENSG00000008018"	0.898045233091861	1	7.76299908251231e-08	"d"
"ENSG00000008083"	1.35831522999947e-05	1	1	"s"
"ENSG00000008086"	0.826753545961493	1	0.000691386130195939	"d"
"ENSG00000008130"	2.29845144681542e-05	1	1	"s"
"ENSG00000008226"	0.720654404243385	1	1	"no-reg"
"ENSG00000008256"	9.3002414981352e-06	1	0.0681656586719727	"s"
"ENSG00000008282"	1	1	1	"no-reg"
"ENSG00000008283"	0.589276933883199	1	0.501922625702366	"no-reg"
"ENSG00000008294"	0.00184500953789988	1	0.203627687463857	"s"
"ENSG00000008300"	0.00118941204437385	1	1	"s"
"ENSG00000008323"	4.7919288293275e-08	0.277146464843738	1	"s"
"ENSG00000008324"	1	1	1	"no-reg"
"ENSG00000008382"	1	1	0.0369954209481923	"d"
"ENSG00000008394"	1.35753394531221e-05	1	1	"s"
"ENSG00000008405"	2.46613029673734e-05	1	1	"s"
"ENSG00000008441"	0.0153827350222419	1	1	"s"
"ENSG00000008516"	0.914910700699686	1	1	"no-reg"
"ENSG00000008517"	0.395131861985712	1	0.845974327190068	"no-reg"
"ENSG00000008710"	0.00387343637547636	1	1	"s"
"ENSG00000008735"	0.0829637747736922	1	0.735067160572607	"no-reg"
"ENSG00000008838"	0.838716387912712	1	9.36195239052281e-09	"d"
"ENSG00000008853"	1.01148326187823e-05	1	1	"s"
"ENSG00000008869"	7.5504164972477e-07	0.149615415924559	1	"s"
"ENSG00000008952"	1	1	1	"no-reg"
"ENSG00000008988"	8.46599519753302e-05	1	1	"s"
"ENSG00000009307"	0.796188864106587	1	0.00251658797786972	"d"
"ENSG00000009335"	1	0.0808371678295517	0.000594241220222594	"d"
"ENSG00000009413"	1	1	1	"no-reg"
"ENSG00000009765"	0.818800982637658	1	1	"no-reg"
"ENSG00000009780"	1	1	1	"no-reg"
"ENSG00000009830"	0.00558485621858649	1	1	"s"
"ENSG00000009844"	0.667249586456971	1	1	"no-reg"
"ENSG00000009950"	7.25908205890202e-05	1	1	"s"
"ENSG00000009954"	6.15137648647828e-05	1	0.987145874981235	"s"
"ENSG00000010017"	0.911459165071445	1	1	"no-reg"
"ENSG00000010030"	1	1	0.692612488400308	"no-reg"
"ENSG00000010072"	0.0280908685662808	1	0.134710272511751	"s"
"ENSG00000010165"	0.223272257694502	1	0.0313128041088126	"d"
"ENSG00000010219"	1	0.00624981976710298	1	"p"
"ENSG00000010244"	0.110705352715092	1	0.0625252320586582	"no-reg"
"ENSG00000010256"	8.15446451388012e-07	1	1	"s"
"ENSG00000010270"	1.11423132242162e-05	1	1	"s"
"ENSG00000010278"	1	1	6.18220970615414e-18	"d"
"ENSG00000010292"	1.20767760763421e-19	1	0.912959329009896	"s"
"ENSG00000010295"	1	1	1	"no-reg"
"ENSG00000010310"	1	0.202229458142215	3.98828928009262e-05	"d"
"ENSG00000010318"	0.000573291127391116	1	0.00803237260051613	"sd"
"ENSG00000010319"	0.731416520671586	1	0.912801449797434	"no-reg"
"ENSG00000010322"	1	2.70494410264891e-08	0.000137318670834188	"pd"
"ENSG00000010361"	1	1	0.305114689470655	"no-reg"
"ENSG00000010379"	1	1	1	"no-reg"
"ENSG00000010438"	0.940829063103684	1	0.00278328749716322	"d"
"ENSG00000010539"	0.0305361958876361	1	1	"s"
"ENSG00000010610"	0.843488282354448	1	0.972745896705203	"no-reg"
"ENSG00000010626"	1	0.11883416485676	0.0228236426965737	"d"
"ENSG00000010671"	1	1	1	"no-reg"
"ENSG00000010704"	0.351819575008429	1	1	"no-reg"
"ENSG00000010803"	0.00473117920957936	1	1	"s"
"ENSG00000010818"	0.00468700309231459	1	1	"s"
"ENSG00000011007"	4.36574178046183e-08	1	0.254565511705106	"s"
"ENSG00000011009"	0.109970881389655	1	1	"no-reg"
"ENSG00000011021"	3.79076307045367e-06	1	0.00293149478983252	"sd"
"ENSG00000011105"	1	1	0.00435053427090883	"d"
"ENSG00000011114"	1	0.0188295895913143	0.00105620539806863	"pd"
"ENSG00000011132"	1	0.0195979086940399	1	"p"
"ENSG00000011143"	1	1	0.0703852375155562	"no-reg"
"ENSG00000011198"	0.2815270649343	1	0.61119065522778	"no-reg"
"ENSG00000011243"	0.822452185463031	1	0.259086890181835	"no-reg"
"ENSG00000011258"	1.90999205847584e-14	1	1	"s"
"ENSG00000011260"	9.24094623711686e-06	1	0.383252282768472	"s"
"ENSG00000011275"	1	1	1	"no-reg"
"ENSG00000011295"	0.00660856592155541	1	1	"s"
"ENSG00000011304"	0.0302840386031705	1	0.0119986340346941	"sd"
