""	"synthesis"	"processing"	"degradation"	"geneClass"
"ENSG00000000003"	1.28902827599042e-09	1	1	"s"
"ENSG00000000419"	0.0216003567785705	1	0.00181989697600381	"sd"
"ENSG00000000457"	1	1	4.74666801467807e-05	"d"
"ENSG00000000460"	1.11144905857918e-50	0.619664709279793	1	"s"
"ENSG00000001036"	0.803657273489313	0.101680892145689	1	"no-reg"
"ENSG00000001084"	1.33430604165209e-06	0.0197240497012262	1	"sp"
"ENSG00000001167"	0.000352168411887592	1	0.332845217917503	"s"
"ENSG00000001460"	1	1	1.11527899464746e-07	"d"
"ENSG00000001461"	9.72953856875716e-09	1	8.34117043680313e-10	"sd"
"ENSG00000001497"	1	1	4.31139119013784e-44	"d"
"ENSG00000001561"	6.67230893333796e-08	1	1	"s"
"ENSG00000001617"	2.1545013817401e-25	1	1	"s"
"ENSG00000001626"	2.74615932506965e-48	0.741313242088553	1	"s"
"ENSG00000001629"	4.53731556100653e-20	1	1	"s"
"ENSG00000002016"	0.000414897904250991	0.792393901560153	1	"s"
"ENSG00000002079"	0.580205716838799	1	1	"no-reg"
"ENSG00000002330"	1	1	0.152577241814622	"no-reg"
"ENSG00000002549"	0.218364730733286	1	0.652407852170497	"no-reg"
"ENSG00000002586"	1	1	7.62586604514858e-14	"d"
"ENSG00000002587"	1	1	0.845391823356388	"no-reg"
"ENSG00000002726"	1.62776369855958e-05	1	1	"s"
"ENSG00000002746"	0.815064097183374	1	1	"no-reg"
"ENSG00000002834"	5.84412551025761e-07	0.288893041867933	1	"s"
"ENSG00000002919"	0.519556819112281	1	0.104660964614136	"no-reg"
"ENSG00000003056"	0.766446994980092	1	0.0796863472530892	"no-reg"
"ENSG00000003096"	0.584118970640955	1	1	"no-reg"
"ENSG00000003137"	0.355816754931935	1	0.487637017326083	"no-reg"
"ENSG00000003147"	2.84095731213872e-05	0.00270488044745469	0.000245493536521749	"spd"
"ENSG00000003249"	5.11971604369003e-07	0.434782915807869	0.203877855557921	"s"
"ENSG00000003393"	1	1	0.377127833763015	"no-reg"
"ENSG00000003400"	1.63161695513395e-20	1	1	"s"
"ENSG00000003402"	1	0.0979527077415576	1.0148341624154e-08	"d"
"ENSG00000003436"	1	1	1	"no-reg"
"ENSG00000003509"	0.137943218079558	1	1	"no-reg"
"ENSG00000003756"	1.34234606263017e-05	1	0.200640200390043	"s"
"ENSG00000003989"	2.99075268419218e-14	1	0.941632728183328	"s"
"ENSG00000004059"	0.94056019307097	1	1	"no-reg"
"ENSG00000004139"	0.0372041029033583	1	1	"s"
"ENSG00000004142"	1.57504061614098e-25	0.00100144736612105	1	"sp"
"ENSG00000004399"	1	1	1	"no-reg"
"ENSG00000004455"	1.222088707192e-45	1	1	"s"
"ENSG00000004468"	1	1	1	"no-reg"
"ENSG00000004478"	5.08054632793242e-88	0.0999252743758484	0.0411203268916355	"sd"
"ENSG00000004487"	0.00469191678866515	1	0.0755843332361216	"s"
"ENSG00000004534"	2.03095080847445e-06	1	1	"s"
"ENSG00000004660"	0.0270231704679153	1	0.103453368747933	"s"
"ENSG00000004700"	0.65761286948194	1	0.229904244273343	"no-reg"
"ENSG00000004766"	0.563640433272708	1	0.614913578346524	"no-reg"
"ENSG00000004776"	0.835231283491031	1	1	"no-reg"
"ENSG00000004777"	3.04984045391262e-08	1	1	"s"
"ENSG00000004779"	1	1	6.20894234448179e-12	"d"
"ENSG00000004838"	1	1	0.141974562263525	"no-reg"
"ENSG00000004864"	0.000278918673930448	1	0.118247689739388	"s"
"ENSG00000004866"	1.14519909295258e-16	1	0.796104708365944	"s"
"ENSG00000004897"	0.43790890440439	1	1.04544749694206e-16	"d"
"ENSG00000004961"	0.0348354121798191	1	1	"s"
"ENSG00000004975"	1.81091912146896e-10	1	1	"s"
"ENSG00000005001"	4.2821982834233e-16	1	0.0865847923239373	"s"
"ENSG00000005007"	1.16076452100024e-19	1	1	"s"
"ENSG00000005020"	3.61419368848537e-09	1	1	"s"
"ENSG00000005022"	1	1	2.12164808363485e-48	"d"
"ENSG00000005059"	1.39340796591219e-10	1	1	"s"
"ENSG00000005075"	0.981121975346457	1	4.59962497256447e-08	"d"
"ENSG00000005100"	1.17539030749533e-18	0.0196561900249416	0.00662657061702815	"spd"
"ENSG00000005156"	0.633167911576735	1	1.66737153497525e-10	"d"
"ENSG00000005175"	3.57796584647703e-09	1	1	"s"
"ENSG00000005187"	0.430180484824862	1	7.21932218034966e-07	"d"
"ENSG00000005189"	5.07105362993025e-20	1	1	"s"
"ENSG00000005194"	2.77943715888563e-12	1	1	"s"
"ENSG00000005206"	2.97239183762599e-16	0.393461431540393	1	"s"
"ENSG00000005238"	1.64455287256802e-17	1	1	"s"
"ENSG00000005302"	1	1	0.294743221986794	"no-reg"
"ENSG00000005339"	0.452834116474369	1	0.0671974612486606	"no-reg"
"ENSG00000005379"	0.0250122276307607	1	0.993820091915832	"s"
"ENSG00000005381"	1	1	1	"no-reg"
"ENSG00000005436"	1	1	8.48567966543749e-10	"d"
"ENSG00000005448"	0.262320850499573	1	0.973033434629391	"no-reg"
"ENSG00000005469"	0.812811433311516	1	0.032485023946493	"d"
"ENSG00000005471"	1	1	1	"no-reg"
"ENSG00000005483"	3.57583081807265e-44	1	0.638286418138464	"s"
"ENSG00000005486"	4.05365639762892e-05	1	1	"s"
"ENSG00000005700"	9.77384232763578e-16	1	1	"s"
"ENSG00000005801"	0.489240277120816	1	0.896186104708277	"no-reg"
"ENSG00000005810"	0.042885283615211	1	0.254239606797049	"s"
"ENSG00000005812"	2.61937578950728e-06	1	0.788524095135328	"s"
"ENSG00000005882"	3.92770724832674e-23	1	0.458772931558063	"s"
"ENSG00000005884"	1	3.70493020922558e-13	2.84550507330338e-21	"pd"
"ENSG00000005889"	0.00784380100981543	1	1	"s"
"ENSG00000005893"	7.94928400278234e-28	1	1	"s"
"ENSG00000005961"	0.214570632437177	1	0.714577239478803	"no-reg"
"ENSG00000006007"	4.06745380302387e-08	1	1	"s"
"ENSG00000006015"	1	1	0.0755843332361216	"no-reg"
"ENSG00000006025"	1.88259329833208e-08	0.110187205604435	1	"s"
"ENSG00000006042"	0.00716985755785582	1	0.835180100124342	"s"
"ENSG00000006062"	5.43290833058066e-05	1	1	"s"
"ENSG00000006118"	1.94316862109972e-19	1	1	"s"
"ENSG00000006125"	0.0644013027323219	1	1	"no-reg"
"ENSG00000006194"	0.287622299680868	1	0.697813239033806	"no-reg"
"ENSG00000006282"	1.15800792374149e-69	0.0243337179237325	1	"sp"
"ENSG00000006283"	0.596291640918454	1	1	"no-reg"
"ENSG00000006327"	1	1	4.0971004973529e-20	"d"
"ENSG00000006432"	0.00223327536676474	1	0.017831040774744	"sd"
"ENSG00000006451"	1	1	0.00117896876847337	"d"
"ENSG00000006453"	3.87678404734933e-14	0.000179695159811752	2.49364047609174e-05	"spd"
"ENSG00000006459"	6.1636235870257e-07	1	0.730019156656268	"s"
"ENSG00000006468"	1	1	2.99510365800109e-09	"d"
"ENSG00000006530"	5.10961221413288e-13	1	0.558842684817764	"s"
"ENSG00000006534"	1.42737179538104e-05	0.534417325369999	0.0764883142272843	"s"
"ENSG00000006576"	0.00042075793943708	1	1	"s"
"ENSG00000006606"	0.016062329635656	1	1	"s"
"ENSG00000006607"	0.000288517319035557	1	1	"s"
"ENSG00000006611"	1.21696219299431e-29	1	1	"s"
"ENSG00000006634"	1.04015741919176e-17	1	0.770917680333547	"s"
"ENSG00000006652"	1	1	0.0721820558694345	"no-reg"
"ENSG00000006695"	0.95563682609045	1	5.57299579833544e-05	"d"
"ENSG00000006704"	2.27045039210098e-08	1	1	"s"
"ENSG00000006712"	0.00354563243990363	1	0.357594434503682	"s"
"ENSG00000006715"	4.17628158758044e-25	0.185838941077134	1	"s"
"ENSG00000006740"	0.00367153130041928	1	1	"s"
"ENSG00000006744"	8.32938058684086e-53	0.00945459710375225	1	"sp"
"ENSG00000006756"	1.64318230051855e-45	1	1	"s"
"ENSG00000006757"	0.0599920867167771	1	1	"no-reg"
"ENSG00000006831"	0.00758719344745226	1	1	"s"
"ENSG00000007047"	6.523743266919e-27	1	1	"s"
"ENSG00000007080"	1	1	5.4068634518846e-23	"d"
"ENSG00000007129"	1	1	1	"no-reg"
"ENSG00000007168"	1	1	0.000145346867318927	"d"
"ENSG00000007171"	1.44088065563589e-15	1	1	"s"
"ENSG00000007202"	0.126439172894419	1	0.357594434503682	"no-reg"
"ENSG00000007237"	0.302634217721199	1	0.748329192547898	"no-reg"
"ENSG00000007255"	5.33657046212281e-44	0.12390036956346	1	"s"
"ENSG00000007264"	0.896089822223944	1	1	"no-reg"
"ENSG00000007314"	0.891565173847724	1	1	"no-reg"
"ENSG00000007341"	0.0419625663403879	1	1	"s"
"ENSG00000007350"	1	1	1	"no-reg"
"ENSG00000007376"	2.43368780389808e-22	1	1	"s"
"ENSG00000007384"	1.36794160631779e-21	1	0.78032487881222	"s"
"ENSG00000007392"	0.700312698606125	1	1	"no-reg"
"ENSG00000007516"	1	1	0.111580513208346	"no-reg"
"ENSG00000007520"	0.103713713643545	1	1	"no-reg"
"ENSG00000007541"	3.48912721867852e-08	1	0.624826783512602	"s"
"ENSG00000007545"	0.000197120461087743	1	0.0752148691605825	"s"
"ENSG00000007866"	7.63757087666475e-15	1	0.231223868631094	"s"
"ENSG00000007923"	2.15181903825903e-34	0.119987454571567	0.0279524859374245	"sd"
"ENSG00000007944"	1	0.110679105399269	0.00152124231523054	"d"
"ENSG00000007952"	1	1	0.877175148728972	"no-reg"
"ENSG00000007968"	3.82878864557181e-23	0.584691998905516	1	"s"
"ENSG00000008018"	0.275991291630692	1	7.22971713755988e-10	"d"
"ENSG00000008083"	0.00021167341353763	1	1	"s"
"ENSG00000008086"	1	1	4.2400799075536e-19	"d"
"ENSG00000008130"	0.000188908114356839	1	0.797905423792936	"s"
"ENSG00000008226"	0.2140641519301	1	1	"no-reg"
"ENSG00000008256"	7.3057645426539e-57	1	1	"s"
"ENSG00000008282"	0.855210891587956	1	1	"no-reg"
"ENSG00000008283"	3.62742491067595e-09	1	1	"s"
"ENSG00000008294"	0.0100127132311434	1	1	"s"
"ENSG00000008300"	5.68536418110355e-18	1	1	"s"
"ENSG00000008311"	0.803220022112554	1	1	"no-reg"
"ENSG00000008323"	7.96864372493343e-07	1	0.33540670179963	"s"
"ENSG00000008324"	0.340373085367612	1	1	"no-reg"
"ENSG00000008382"	1	1	0.017205617146626	"d"
"ENSG00000008394"	3.49074401074117e-15	1	1	"s"
"ENSG00000008405"	1	1	6.21831921920559e-10	"d"
"ENSG00000008441"	4.71101620390893e-06	1	1	"s"
"ENSG00000008516"	1	1	0.0721820558694345	"no-reg"
"ENSG00000008517"	5.96196972023686e-11	1	1	"s"
"ENSG00000008710"	0.0806871887950926	1	1	"no-reg"
"ENSG00000008735"	0.0943689542917996	1	1	"no-reg"
"ENSG00000008838"	1	1	6.48797292786429e-09	"d"
"ENSG00000008853"	0.000465173288864194	1	1	"s"
"ENSG00000008869"	2.36928040010035e-19	0.131320427164456	1	"s"
"ENSG00000008952"	0.235326835619319	1	1	"no-reg"
"ENSG00000008988"	5.89367718268515e-12	1	1	"s"
"ENSG00000009307"	0.666125547791825	1	2.15087687886699e-06	"d"
"ENSG00000009335"	2.31863154564887e-06	1	1	"s"
"ENSG00000009413"	1	1	1	"no-reg"
"ENSG00000009765"	0.966917868432782	1	1	"no-reg"
"ENSG00000009780"	0.343480241720925	1	0.209478300080948	"no-reg"
"ENSG00000009830"	7.25459158856013e-15	1	1	"s"
"ENSG00000009844"	1	1	1	"no-reg"
"ENSG00000009950"	3.00969058267708e-05	1	1	"s"
"ENSG00000009954"	9.60792478686027e-18	1	1	"s"
"ENSG00000010017"	0.285109406057303	1	0.000573668089006403	"d"
"ENSG00000010030"	1	1	0.0697383186275837	"no-reg"
"ENSG00000010072"	0.00263819269291331	1	1	"s"
"ENSG00000010165"	0.0011912609271913	1	0.395282018462335	"s"
"ENSG00000010219"	1	1	1	"no-reg"
"ENSG00000010244"	0.0836323649879176	1	0.255653803101436	"no-reg"
"ENSG00000010256"	1	1	1.7070370186715e-09	"d"
"ENSG00000010270"	5.00940514392791e-06	1	1	"s"
"ENSG00000010278"	1	1	1.36434611436994e-35	"d"
"ENSG00000010292"	0.00271554147396992	1	0.409441226879289	"s"
"ENSG00000010295"	0.0967443265518787	1	1	"no-reg"
"ENSG00000010310"	2.51891459010161e-14	1	1	"s"
"ENSG00000010318"	0.0268444613911624	1	0.0225803555813416	"sd"
"ENSG00000010319"	1	1	1	"no-reg"
"ENSG00000010322"	0.00331061118236925	0.215504239422935	0.0128279964251388	"sd"
"ENSG00000010327"	0.600598918822699	1	1	"no-reg"
"ENSG00000010361"	0.00189691774134091	1	1	"s"
"ENSG00000010379"	0.875148254953508	1	1	"no-reg"
"ENSG00000010438"	0.203531746672869	1	0.00325779024659884	"d"
"ENSG00000010539"	0.0185608842047093	1	1	"s"
"ENSG00000010610"	0.302251667936115	1	0.728734853340214	"no-reg"
"ENSG00000010626"	6.99145865994407e-06	1	1	"s"
"ENSG00000010671"	1	1	1	"no-reg"
"ENSG00000010704"	1.49739338262007e-09	1	0.933798127680729	"s"
"ENSG00000010803"	3.28354829144866e-07	1	0.904081378637181	"s"
"ENSG00000010818"	1	1	0.0465092368765177	"d"
"ENSG00000011007"	1	1	1.23662268934598e-09	"d"
"ENSG00000011009"	0.107152460224271	1	1	"no-reg"
"ENSG00000011021"	1.8535372103032e-24	0.0600992304963691	1	"s"
"ENSG00000011105"	1	1	1.29068233616776e-05	"d"
"ENSG00000011114"	3.3033602341406e-10	6.30625520988447e-05	1	"sp"
"ENSG00000011132"	0.0556020182755382	1	1	"no-reg"
"ENSG00000011143"	6.00449872014034e-05	1	1	"s"
"ENSG00000011198"	0.0133632047803331	1	1	"s"
"ENSG00000011243"	0.69192746212387	1	1	"no-reg"
"ENSG00000011258"	4.38511548462656e-35	6.75343237722368e-06	1	"sp"
"ENSG00000011260"	1.85481632889612e-05	1	0.218036307130936	"s"
"ENSG00000011275"	0.00690295489102348	1	1	"s"
"ENSG00000011295"	0.112294779197212	1	0.809816849147133	"no-reg"
"ENSG00000011304"	1	1	1.12049482759322e-32	"d"
"ENSG00000011332"	1.86632505753532e-30	1	0.768613083305225	"s"
"ENSG00000011347"	0.0211867903912888	1	1	"s"
"ENSG00000011376"	6.82089381352322e-31	1	1	"s"
"ENSG00000011405"	1.26060605083535e-12	1	1	"s"
"ENSG00000011422"	3.54011252226359e-13	1	0.00333754577676659	"sd"
"ENSG00000011426"	4.31742433563552e-120	0.0136979803771792	1	"sp"
"ENSG00000011451"	2.47814761449477e-07	0.00387459306950007	1	"sp"
"ENSG00000011454"	3.99675034970344e-10	0.014449650997554	0.00466947692222708	"spd"
"ENSG00000011478"	1	1	0.62440702150103	"no-reg"
"ENSG00000011485"	3.71287660317012e-51	0.00498433039215354	1	"sp"
"ENSG00000011523"	2.14544233547843e-15	1	0.55828480497381	"s"
"ENSG00000011566"	1.96923579837697e-10	1	0.0363535001288799	"sd"
"ENSG00000011590"	1	1	0.185639055233881	"no-reg"
"ENSG00000011638"	5.2195585484019e-13	1	1	"s"
"ENSG00000011677"	0.642787533844554	1	0.995533418944374	"no-reg"
"ENSG00000012048"	1.7023899056474e-28	1	1	"s"
"ENSG00000012061"	0.881450347230462	1	0.000333661407965914	"d"
"ENSG00000012124"	0.725434309630164	1	1	"no-reg"
"ENSG00000012171"	0.187515028916227	9.72737294398337e-06	2.1168091740102e-08	"pd"
"ENSG00000012174"	0.0128955214276425	1	1	"s"
"ENSG00000012211"	1	0.0352075541472089	0.348276104495389	"p"
"ENSG00000012232"	1	1	0.760807428263301	"no-reg"
"ENSG00000012779"	2.63434569358385e-09	1.34101423141226e-05	0.159271114964127	"sp"
"ENSG00000012822"	1.74115699415453e-25	1.87170893178858e-06	0.00182259343013629	"spd"
"ENSG00000012963"	2.59528860531083e-21	1	1	"s"
"ENSG00000012983"	1	1	1	"no-reg"
"ENSG00000013275"	0.0723680902294809	1	0.102786644023513	"no-reg"
"ENSG00000013288"	1	1	1.33982479890934e-14	"d"
"ENSG00000013306"	2.34632497022351e-19	0.0158760368950587	1	"sp"
"ENSG00000013364"	2.53408948446509e-39	1	1	"s"
"ENSG00000013374"	2.77149623187212e-53	1	1	"s"
"ENSG00000013375"	5.1506588711565e-11	1	0.717918513309958	"s"
"ENSG00000013392"	1	0.115900320799898	3.31590280971532e-06	"d"
"ENSG00000013441"	1	1	1	"no-reg"
"ENSG00000013503"	2.11662990461272e-13	1	1	"s"
"ENSG00000013523"	0.154910101256865	1	0.210138562303831	"no-reg"
"ENSG00000013561"	1	1	0.0055427345170955	"d"
"ENSG00000013563"	7.24774541091859e-10	1	0.964505392803861	"s"
"ENSG00000013573"	7.91609075534194e-60	1	1	"s"
"ENSG00000013583"	3.33489719455705e-06	1	1	"s"
"ENSG00000013588"	0.005039230987816	1	0.135267888378261	"s"
"ENSG00000013619"	1	1	1	"no-reg"
"ENSG00000013810"	9.4015471950742e-166	5.79702059863103e-05	1	"sp"
"ENSG00000014123"	0.952266220945111	1	9.7091578708354e-07	"d"
"ENSG00000014164"	0.141494158112276	1	1	"no-reg"
"ENSG00000014216"	1.19418875204863e-07	0.545777360485905	1	"s"
"ENSG00000014257"	1	1	1.76639085119597e-12	"d"
"ENSG00000014641"	1	0.29389743220568	1	"no-reg"
"ENSG00000014824"	0.880877263007504	1	1	"no-reg"
"ENSG00000014914"	1.01735790034913e-25	0.0591887201868821	1	"s"
"ENSG00000015133"	6.36978255200562e-07	0.182994090311033	1	"s"
"ENSG00000015153"	1	1	1	"no-reg"
"ENSG00000015171"	1	1	0.575933239635935	"no-reg"
"ENSG00000015285"	0.687923667876826	0.663349399432066	1	"no-reg"
"ENSG00000015413"	1	1	0.354331591404921	"no-reg"
"ENSG00000015475"	0.0543742935559526	1	0.0392176169276919	"d"
"ENSG00000015520"	1	1	0.0465228444364802	"d"
"ENSG00000015532"	9.31169164946303e-14	1	1	"s"
"ENSG00000015676"	0.00189155999509864	1	0.00025704784927664	"sd"
"ENSG00000016082"	3.0266247574532e-06	1	1	"s"
"ENSG00000016391"	6.94411298128125e-26	1	0.672026288870153	"s"
"ENSG00000016402"	0.000744777311512664	1	1	"s"
"ENSG00000016864"	2.2451761634923e-15	1	1	"s"
"ENSG00000017260"	0.772034945276105	0.0525149520265961	1	"no-reg"
"ENSG00000017427"	0.00154445047401814	1	1	"s"
"ENSG00000017483"	0.210642357916305	1	1	"no-reg"
"ENSG00000017797"	0.134686512824451	1	1	"no-reg"
"ENSG00000018189"	7.55883826076934e-06	1	1	"s"
"ENSG00000018236"	1	1	1	"no-reg"
"ENSG00000018280"	1	1	1	"no-reg"
"ENSG00000018408"	1.83718631293501e-05	1	1	"s"
"ENSG00000018510"	0.0511215298916279	1	0.255368690881354	"no-reg"
"ENSG00000018610"	0.00101162427459682	1	1	"s"
"ENSG00000018625"	0.51717361422818	1	1	"no-reg"
"ENSG00000018699"	1	1	1.64726362767271e-28	"d"
"ENSG00000018869"	1	1	1	"no-reg"
"ENSG00000019102"	2.02368019631632e-05	1	0.711200660527261	"s"
"ENSG00000019144"	6.95166925944438e-05	1	1	"s"
"ENSG00000019169"	0.802692777908759	1	1	"no-reg"
"ENSG00000019485"	7.70335620392543e-12	0.0025146285173758	1	"sp"
"ENSG00000019505"	1.8840969773912e-05	1	0.894556692001673	"s"
"ENSG00000019995"	0.00563989593476492	1	0.354331591404921	"s"
"ENSG00000020129"	1.46130586234497e-17	0.0102404786854258	1	"sp"
"ENSG00000020181"	5.92249490425611e-08	1	0.502899910713211	"s"
"ENSG00000020256"	0.00108885517635378	1	1	"s"
"ENSG00000020426"	0.000415882813159554	1	1	"s"
"ENSG00000020577"	8.81915814255537e-10	1	1	"s"
"ENSG00000020633"	0.94056019307097	1	1	"no-reg"
"ENSG00000020922"	5.51922531864932e-18	0.432427390759454	1	"s"
"ENSG00000021300"	5.29644323865736e-11	1	1	"s"
"ENSG00000021355"	1	0.369519363505235	1	"no-reg"
"ENSG00000021488"	1	0.571560413133408	1	"no-reg"
"ENSG00000021574"	4.37655808311179e-07	1	1	"s"
"ENSG00000021762"	1	1	4.16698272285121e-15	"d"
"ENSG00000021776"	1	1	0.293151116376811	"no-reg"
"ENSG00000021826"	1.93927581157309e-05	1	1	"s"
"ENSG00000022277"	1	1	0.398544206424403	"no-reg"
"ENSG00000022556"	2.22814184181704e-05	1	1	"s"
"ENSG00000022567"	0.848698969869698	1	0.00979778423014944	"d"
"ENSG00000022840"	6.90471685909773e-06	1	1	"s"
"ENSG00000022976"	7.27041471359116e-16	1	1	"s"
"ENSG00000023041"	0.596321906741068	1	0.0402096941456318	"d"
"ENSG00000023171"	2.08890380064839e-05	1	1	"s"
"ENSG00000023191"	0.00119439020493215	1	0.103468125144019	"s"
"ENSG00000023228"	0.767814172300392	1	5.08884114702181e-12	"d"
"ENSG00000023287"	8.22373532082065e-48	1	1	"s"
"ENSG00000023318"	1.36396404245736e-20	1	1	"s"
"ENSG00000023330"	1.15991402934774e-06	1	1	"s"
"ENSG00000023445"	0.0111827759200997	1	0.171857008504142	"s"
"ENSG00000023516"	0.0155554842055013	1	1	"s"
"ENSG00000023572"	1	1	5.5487648301101e-15	"d"
"ENSG00000023608"	0.00856052006676647	1	1	"s"
"ENSG00000023697"	0.0384667442655068	1	1	"s"
