""	"synthesis"	"processing"	"degradation"	"geneClass"
"ENSG00000000003"	1	1	1	"no-reg"
"ENSG00000000419"	1	1	1	"no-reg"
"ENSG00000000457"	0.605973432842274	1	1	"no-reg"
"ENSG00000000460"	0.705083135016142	1	0.605804998733235	"no-reg"
"ENSG00000001036"	1	1	1	"no-reg"
"ENSG00000001084"	1	1	1	"no-reg"
"ENSG00000001167"	0.000844241251524305	1	1	"s"
"ENSG00000001460"	0.0143784572330924	1	1	"s"
"ENSG00000001461"	9.1957051877111e-15	1	1	"s"
"ENSG00000001497"	1	1	8.46674833997095e-05	"d"
"ENSG00000001561"	0.823809110037149	1	1	"no-reg"
"ENSG00000001617"	3.43588630602572e-08	1	1	"s"
"ENSG00000001626"	0.00165993596162306	1	1	"s"
"ENSG00000001629"	0.0803976768896389	1	1	"no-reg"
"ENSG00000002016"	9.1463359669107e-08	1	1	"s"
"ENSG00000002079"	1	1	1	"no-reg"
"ENSG00000002330"	1	1	1	"no-reg"
"ENSG00000002549"	0.773316603625354	1	1	"no-reg"
"ENSG00000002586"	1	1	1	"no-reg"
"ENSG00000002587"	1	1	1	"no-reg"
"ENSG00000002726"	0.0415698952992051	1	1	"s"
"ENSG00000002746"	1	1	1	"no-reg"
"ENSG00000002834"	1	1	1	"no-reg"
"ENSG00000002919"	1	1	1	"no-reg"
"ENSG00000003056"	1	1	1	"no-reg"
"ENSG00000003137"	0.156552495632641	1	1	"no-reg"
"ENSG00000003147"	2.1989739372509e-11	1	0.00307493106697192	"sd"
"ENSG00000003249"	1	1	1	"no-reg"
"ENSG00000003393"	1	1	1	"no-reg"
"ENSG00000003400"	7.26797317635159e-10	1	1	"s"
"ENSG00000003402"	9.90950312763035e-10	1	1	"s"
"ENSG00000003436"	1	1	1	"no-reg"
"ENSG00000003509"	1	1	1	"no-reg"
"ENSG00000003756"	0.0646957649656959	1	1	"no-reg"
"ENSG00000003987"	1	1	1	"no-reg"
"ENSG00000003989"	1	1	0.108261348962078	"no-reg"
"ENSG00000004059"	1	1	1	"no-reg"
"ENSG00000004139"	0.0545058399087988	1	1	"no-reg"
"ENSG00000004142"	0.528844963092817	1	1	"no-reg"
"ENSG00000004399"	1	1	1	"no-reg"
"ENSG00000004455"	0.80719669390418	1	8.83029722238173e-06	"d"
"ENSG00000004468"	1	1	1	"no-reg"
"ENSG00000004478"	0.616604468706447	1	8.30112765045616e-12	"d"
"ENSG00000004487"	0.476373157792611	1	0.25698550987408	"no-reg"
"ENSG00000004534"	0.0185630244164668	1	1	"s"
"ENSG00000004660"	0.0667464205460171	1	1	"no-reg"
"ENSG00000004700"	1	1	1	"no-reg"
"ENSG00000004766"	1	1	1	"no-reg"
"ENSG00000004777"	0.000114134744340394	1	1	"s"
"ENSG00000004779"	1	1	3.98253672306201e-05	"d"
"ENSG00000004838"	1	1	1	"no-reg"
"ENSG00000004864"	0.128153398731442	1	1	"no-reg"
"ENSG00000004866"	0.131133165346857	1	1	"no-reg"
"ENSG00000004897"	1	1	1	"no-reg"
"ENSG00000004961"	0.40358982345623	1	1	"no-reg"
"ENSG00000004975"	1	1	1	"no-reg"
"ENSG00000005001"	0.00357634236192085	1	1	"s"
"ENSG00000005007"	0.27944077813729	1	1	"no-reg"
"ENSG00000005020"	0.705083135016142	1	1	"no-reg"
"ENSG00000005022"	1	1	9.96078545660383e-18	"d"
"ENSG00000005059"	0.0526749171817635	1	1	"no-reg"
"ENSG00000005075"	0.326206314974257	1	1	"no-reg"
"ENSG00000005100"	0.564109059452538	1	0.117150085339587	"no-reg"
"ENSG00000005156"	0.419371185814801	1	0.0800816068823375	"no-reg"
"ENSG00000005175"	1	1	1	"no-reg"
"ENSG00000005187"	0.000413385825057474	1	1	"s"
"ENSG00000005189"	1	1	3.34347546111271e-05	"d"
"ENSG00000005194"	0.0197749812424412	1	1	"s"
"ENSG00000005206"	0.980420545200567	1	1	"no-reg"
"ENSG00000005238"	4.42383177931938e-05	1	1	"s"
"ENSG00000005302"	0.689038575862351	1	1	"no-reg"
"ENSG00000005339"	1	1	1	"no-reg"
"ENSG00000005379"	0.937136467295133	1	1	"no-reg"
"ENSG00000005436"	1	1	1	"no-reg"
"ENSG00000005448"	1	1	1	"no-reg"
"ENSG00000005469"	1	0.239279005769764	1	"no-reg"
"ENSG00000005483"	1	1	0.0212014564042873	"d"
"ENSG00000005486"	0.0984651808643652	1	1	"no-reg"
"ENSG00000005700"	0.392076821920572	1	1	"no-reg"
"ENSG00000005801"	0.963403369513973	1	1	"no-reg"
"ENSG00000005810"	1	1	1	"no-reg"
"ENSG00000005812"	1	1	1	"no-reg"
"ENSG00000005882"	1	1	0.573027205398119	"no-reg"
"ENSG00000005884"	0.929416175149006	0.384508675034738	1	"no-reg"
"ENSG00000005889"	1	1	1	"no-reg"
"ENSG00000005893"	0.852401543363392	1	1	"no-reg"
"ENSG00000005961"	1	1	1	"no-reg"
"ENSG00000006007"	0.00200339150146758	1	1	"s"
"ENSG00000006015"	1	1	1	"no-reg"
"ENSG00000006016"	0.720990950675005	1	1	"no-reg"
"ENSG00000006025"	0.975447122988736	1	1	"no-reg"
"ENSG00000006042"	1	1	1	"no-reg"
"ENSG00000006062"	0.194932989206039	1	1	"no-reg"
"ENSG00000006118"	0.274764870181236	1	1	"no-reg"
"ENSG00000006125"	1	1	1	"no-reg"
"ENSG00000006194"	1	1	1	"no-reg"
"ENSG00000006282"	0.0187680183691574	1	1	"s"
"ENSG00000006283"	1	1	1	"no-reg"
"ENSG00000006327"	0.0267341203942432	1	1	"s"
"ENSG00000006432"	0.00608059254529383	1	1	"s"
"ENSG00000006451"	1	1	1	"no-reg"
"ENSG00000006453"	1	1	1	"no-reg"
"ENSG00000006459"	0.0633552452447844	1	1	"no-reg"
"ENSG00000006468"	1	1	0.00136176881458944	"d"
"ENSG00000006530"	1	1	1	"no-reg"
"ENSG00000006534"	0.000413411952376915	1	1	"s"
"ENSG00000006576"	1	1	1	"no-reg"
"ENSG00000006606"	0.51950674407268	1	1	"no-reg"
"ENSG00000006607"	0.00511075240392019	0.134281926465455	1	"s"
"ENSG00000006611"	4.36488562188421e-13	1	1	"s"
"ENSG00000006634"	0.0433071300628034	1	1	"s"
"ENSG00000006652"	1	1	1	"no-reg"
"ENSG00000006695"	1	1	1	"no-reg"
"ENSG00000006704"	0.848023429316179	1	1	"no-reg"
"ENSG00000006712"	1	1	0.00345926631498748	"d"
"ENSG00000006715"	0.55673043944028	1	1	"no-reg"
"ENSG00000006740"	0.118127770795815	1	1	"no-reg"
"ENSG00000006744"	0.664648551514007	1	0.00161062696555748	"d"
"ENSG00000006756"	2.03297049478241e-07	1	1	"s"
"ENSG00000006757"	0.302537633212417	1	1	"no-reg"
"ENSG00000006831"	1	1	1	"no-reg"
"ENSG00000007047"	0.00167476690683314	1	1	"s"
"ENSG00000007062"	1	1	1	"no-reg"
"ENSG00000007080"	1	1	0.160565566555006	"no-reg"
"ENSG00000007129"	0.421102470058335	1	1	"no-reg"
"ENSG00000007168"	1	1	1	"no-reg"
"ENSG00000007171"	0.00421996197005009	1	1	"s"
"ENSG00000007202"	0.230194888924974	1	1	"no-reg"
"ENSG00000007237"	1	1	1	"no-reg"
"ENSG00000007255"	0.000865357283201617	1	1	"s"
"ENSG00000007264"	1	1	1	"no-reg"
"ENSG00000007341"	1	1	1	"no-reg"
"ENSG00000007350"	1	1	1	"no-reg"
"ENSG00000007376"	0.0508505389397307	1	1	"no-reg"
"ENSG00000007384"	0.198228246899708	1	1	"no-reg"
"ENSG00000007392"	1	1	1	"no-reg"
"ENSG00000007516"	0.0442518640409259	1	1	"s"
"ENSG00000007520"	1	1	1	"no-reg"
"ENSG00000007541"	0.67867762345453	1	1	"no-reg"
"ENSG00000007545"	1	1	1	"no-reg"
"ENSG00000007866"	0.0707471209133849	1	1	"no-reg"
"ENSG00000007923"	1	1	0.0167141193930005	"d"
"ENSG00000007944"	0.00619839013997218	1	0.0204251006257051	"sd"
"ENSG00000007952"	1	1	1	"no-reg"
"ENSG00000007968"	6.67141135977668e-09	1	1	"s"
"ENSG00000008018"	0.890923690415044	1	0.00232450172560439	"d"
"ENSG00000008083"	1	1	1	"no-reg"
"ENSG00000008086"	1	1	0.0791048815472541	"no-reg"
"ENSG00000008130"	1	1	1	"no-reg"
"ENSG00000008226"	1	1	1	"no-reg"
"ENSG00000008256"	5.14493439961327e-05	1	1	"s"
"ENSG00000008282"	1	1	1	"no-reg"
"ENSG00000008283"	0.93557205413375	1	1	"no-reg"
"ENSG00000008294"	0.254656982989063	1	1	"no-reg"
"ENSG00000008300"	0.0420641885739958	1	1	"s"
"ENSG00000008323"	1	0.011944588703194	1	"p"
"ENSG00000008324"	0.786847001335718	1	1	"no-reg"
"ENSG00000008382"	1	1	1	"no-reg"
"ENSG00000008394"	0.116354033536099	1	1	"no-reg"
"ENSG00000008405"	0.183579005341264	1	1	"no-reg"
"ENSG00000008441"	0.637024335328702	1	1	"no-reg"
"ENSG00000008516"	0.362330735954106	1	1	"no-reg"
"ENSG00000008517"	0.0616065472016258	1	1	"no-reg"
"ENSG00000008710"	0.0579887246885698	1	1	"no-reg"
"ENSG00000008735"	0.0828109055718699	1	1	"no-reg"
"ENSG00000008838"	0.828483957117206	1	1	"no-reg"
"ENSG00000008853"	0.902658838357073	1	1	"no-reg"
"ENSG00000008869"	1	1	1	"no-reg"
"ENSG00000008952"	1	1	1	"no-reg"
"ENSG00000008988"	1	1	0.229609476675978	"no-reg"
"ENSG00000009307"	1	1	1	"no-reg"
"ENSG00000009335"	0.00453325682740166	1	1	"s"
"ENSG00000009413"	1	1	1	"no-reg"
"ENSG00000009724"	1	1	1	"no-reg"
"ENSG00000009780"	1	1	1	"no-reg"
"ENSG00000009830"	0.00412184830264088	1	1	"s"
"ENSG00000009844"	1	1	1	"no-reg"
"ENSG00000009950"	0.0644157396852713	1	1	"no-reg"
"ENSG00000009954"	0.427172091972818	1	1	"no-reg"
"ENSG00000010017"	1	1	1	"no-reg"
"ENSG00000010030"	1	1	0.0450019303808413	"d"
"ENSG00000010072"	0.882965200876252	1	0.436274087124166	"no-reg"
"ENSG00000010165"	1	1	1	"no-reg"
"ENSG00000010219"	1	1	0.215651255894556	"no-reg"
"ENSG00000010244"	0.0108360491740348	1	0.171760825565994	"s"
"ENSG00000010256"	0.128756359605154	1	1	"no-reg"
"ENSG00000010270"	0.244200690016932	1	1	"no-reg"
"ENSG00000010278"	1	1	0.0360082674310727	"d"
"ENSG00000010292"	6.58741155347378e-43	1	1	"s"
"ENSG00000010295"	1	1	1	"no-reg"
"ENSG00000010310"	7.28023162772437e-05	1	1	"s"
"ENSG00000010318"	1	1	1	"no-reg"
"ENSG00000010319"	1	1	1	"no-reg"
"ENSG00000010322"	0.26117390819736	1	1	"no-reg"
"ENSG00000010327"	1	1	1	"no-reg"
"ENSG00000010361"	0.737998633485514	1	1	"no-reg"
"ENSG00000010379"	0.87941984640682	1	1	"no-reg"
"ENSG00000010438"	0.650296758021299	1	1	"no-reg"
"ENSG00000010539"	0.858012536742835	1	1	"no-reg"
"ENSG00000010626"	1	1	0.453563698758984	"no-reg"
"ENSG00000010671"	1	1	1	"no-reg"
"ENSG00000010704"	4.00748668237722e-08	1	1	"s"
"ENSG00000010803"	0.149824370517019	1	1	"no-reg"
"ENSG00000010818"	0.0357626860442383	1	1	"s"
"ENSG00000011007"	1	1	0.00628318323807302	"d"
"ENSG00000011009"	0.90804415254236	1	1	"no-reg"
"ENSG00000011021"	0.052197706427787	1	1	"no-reg"
"ENSG00000011105"	0.891453713088838	1	1	"no-reg"
"ENSG00000011114"	1	1	1	"no-reg"
"ENSG00000011132"	1	1	1	"no-reg"
"ENSG00000011143"	0.622525734810139	1	1	"no-reg"
"ENSG00000011198"	0.748928414765902	1	1	"no-reg"
"ENSG00000011243"	0.960440621395851	1	1	"no-reg"
"ENSG00000011258"	0.822334404993673	1	1	"no-reg"
"ENSG00000011260"	0.00214320031142126	1	1	"s"
"ENSG00000011275"	1	1	1	"no-reg"
"ENSG00000011295"	0.221015015597942	1	1	"no-reg"
"ENSG00000011304"	0.0165049841953797	1	1	"s"
"ENSG00000011332"	0.000404053517717795	1	1	"s"
"ENSG00000011347"	1	1	1	"no-reg"
"ENSG00000011376"	0.0044685947896361	1	1	"s"
"ENSG00000011405"	0.507404127701737	1	1	"no-reg"
"ENSG00000011422"	0.0251189169946467	1	1	"s"
"ENSG00000011426"	6.11958386292727e-10	1	1	"s"
"ENSG00000011451"	1	1	1	"no-reg"
"ENSG00000011454"	0.226662802454876	1	1	"no-reg"
"ENSG00000011478"	1	1	1	"no-reg"
"ENSG00000011485"	1	1	0.0164551313986304	"d"
"ENSG00000011523"	0.0478547723619232	1	1	"s"
"ENSG00000011566"	1	1	1	"no-reg"
"ENSG00000011590"	0.00997842731216326	1	1	"s"
"ENSG00000011638"	1.64025596716465e-05	1	1	"s"
"ENSG00000011677"	1	1	1	"no-reg"
"ENSG00000012048"	0.0608861313783853	1	1	"no-reg"
"ENSG00000012061"	0.645134667010906	1	1	"no-reg"
"ENSG00000012124"	1	1	0.70425357106959	"no-reg"
"ENSG00000012171"	0.00248013675860936	1	1	"s"
"ENSG00000012174"	1	1	1	"no-reg"
"ENSG00000012211"	0.18756431879461	1	1	"no-reg"
"ENSG00000012232"	0.0454736615256112	0.484454916463287	1	"s"
"ENSG00000012779"	0.000729384270672335	0.0645526365773581	0.000273091328397609	"sd"
"ENSG00000012822"	1.4636919976664e-11	1	1	"s"
"ENSG00000012963"	0.0440600936698232	1	1	"s"
"ENSG00000012983"	1	1	1	"no-reg"
"ENSG00000013275"	1	1	0.000318860092487977	"d"
"ENSG00000013288"	1	1	0.689280915950137	"no-reg"
"ENSG00000013306"	0.643755792937065	1	1	"no-reg"
"ENSG00000013364"	0.00108984582657074	1	1	"s"
"ENSG00000013374"	3.42256589769027e-11	1	1	"s"
"ENSG00000013375"	0.103216543211677	1	1	"no-reg"
"ENSG00000013392"	0.00040266357673449	1	1	"s"
"ENSG00000013441"	1	1	1	"no-reg"
"ENSG00000013503"	1	1	1	"no-reg"
"ENSG00000013523"	0.953263141149326	1	1	"no-reg"
"ENSG00000013561"	1	1	1	"no-reg"
"ENSG00000013563"	0.195364590001456	1	1	"no-reg"
"ENSG00000013573"	1.02433673756518e-07	1	1	"s"
"ENSG00000013583"	1	1	0.417929539357315	"no-reg"
"ENSG00000013588"	0.00959990537501334	1	1	"s"
"ENSG00000013619"	1	1	1	"no-reg"
"ENSG00000013810"	1.3654797802702e-12	1	1	"s"
"ENSG00000014123"	0.97924952997527	1	1	"no-reg"
"ENSG00000014164"	1	1	1	"no-reg"
"ENSG00000014216"	0.452134795191839	1	1	"no-reg"
"ENSG00000014257"	0.00158151982881464	1	1	"s"
"ENSG00000014641"	1	1	1	"no-reg"
"ENSG00000014824"	0.923217827658573	1	1	"no-reg"
