""	"synthesis"	"processing"	"degradation"	"geneClass"
"ENSG00000000003"	2.64668249013941e-08	1	0.634184178321177	"s"
"ENSG00000000419"	0.876104216970524	1	1	"no-reg"
"ENSG00000000457"	1	1	0.0871844524739563	"no-reg"
"ENSG00000000460"	3.40917086081418e-06	1	6.66534782538233e-05	"sd"
"ENSG00000001036"	1	1	1	"no-reg"
"ENSG00000001084"	2.9546339359335e-08	0.0395749577580626	1	"sp"
"ENSG00000001167"	1.79396128789036e-08	1	1	"s"
"ENSG00000001460"	5.28610620602838e-06	0.774007912538554	1	"s"
"ENSG00000001461"	4.43540153996399e-20	0.000738146793083134	1	"sp"
"ENSG00000001497"	0.837355062392208	1	1.08220650951615e-06	"d"
"ENSG00000001561"	0.793520412141294	1	0.000301847013732233	"d"
"ENSG00000001617"	2.85776128252245e-06	1	1	"s"
"ENSG00000001626"	6.96834492000777e-42	0.888869891988584	1	"s"
"ENSG00000001629"	1	1	9.78669372041005e-06	"d"
"ENSG00000002016"	6.64758494304734e-06	1	1	"s"
"ENSG00000002079"	0.991808863489431	1	1	"no-reg"
"ENSG00000002330"	0.003836430332314	0.65201923434832	1	"s"
"ENSG00000002549"	0.00058078905483023	1	1	"s"
"ENSG00000002586"	1	1	5.95968427320451e-11	"d"
"ENSG00000002587"	1	1	0.222670265250186	"no-reg"
"ENSG00000002726"	0.0133655542033284	1	1	"s"
"ENSG00000002746"	0.969536587904421	1	1	"no-reg"
"ENSG00000002834"	0.965556890896767	1	1	"no-reg"
"ENSG00000002919"	1	1	1	"no-reg"
"ENSG00000003056"	1	1	0.000143491920271533	"d"
"ENSG00000003096"	1	1	1	"no-reg"
"ENSG00000003137"	1	1	1	"no-reg"
"ENSG00000003147"	2.05247746888277e-05	0.802905750379533	0.988167906989687	"s"
"ENSG00000003249"	1	1	1	"no-reg"
"ENSG00000003393"	0.727641437264302	1	1	"no-reg"
"ENSG00000003400"	0.000884723562039942	1	1	"s"
"ENSG00000003402"	1	1	6.0453376480022e-10	"d"
"ENSG00000003436"	1	1	1	"no-reg"
"ENSG00000003509"	1	1	1	"no-reg"
"ENSG00000003756"	1	1	0.30780988739239	"no-reg"
"ENSG00000003987"	1	1	1	"no-reg"
"ENSG00000003989"	0.320073193394858	1	0.664250837336052	"no-reg"
"ENSG00000004059"	0.926933649823226	1	1	"no-reg"
"ENSG00000004139"	9.61612364571539e-05	1	1	"s"
"ENSG00000004142"	0.0522683315811397	1	0.738939822459786	"no-reg"
"ENSG00000004399"	1	1	1	"no-reg"
"ENSG00000004455"	8.71194346886566e-15	1	1	"s"
"ENSG00000004478"	0.553193031011989	1	2.49087321457332e-09	"d"
"ENSG00000004487"	8.43577856206192e-05	1	0.560371993378215	"s"
"ENSG00000004534"	0.974585014084668	1	0.0925148309430234	"no-reg"
"ENSG00000004660"	0.387187583561709	1	1	"no-reg"
"ENSG00000004700"	0.688674001973622	1	0.0708293490222897	"no-reg"
"ENSG00000004766"	0.82359095557777	1	1	"no-reg"
"ENSG00000004776"	1	1	1	"no-reg"
"ENSG00000004777"	0.196961921697983	1	1	"no-reg"
"ENSG00000004779"	0.624478183916086	1	0.00014053236077301	"d"
"ENSG00000004838"	1	1	1	"no-reg"
"ENSG00000004864"	9.92763392197603e-05	1	0.278305690283313	"s"
"ENSG00000004866"	5.75553162702583e-07	1	1	"s"
"ENSG00000004897"	0.376227634375814	1	0.764462013196072	"no-reg"
"ENSG00000004961"	0.0265896805163661	1	1	"s"
"ENSG00000004975"	1	1	3.28210964718001e-06	"d"
"ENSG00000005001"	1.76063491377253e-29	1	0.831587145968881	"s"
"ENSG00000005007"	0.00280066579296224	1	1	"s"
"ENSG00000005020"	0.8748664840067	1	0.0638530883093547	"no-reg"
"ENSG00000005022"	2.9742147400889e-07	1	1	"s"
"ENSG00000005059"	1	1	1	"no-reg"
"ENSG00000005075"	0.0251944719213085	1	1	"s"
"ENSG00000005100"	0.544733287815389	1	0.000737998670090783	"d"
"ENSG00000005156"	3.19931169785596e-06	1	0.767544583899842	"s"
"ENSG00000005175"	0.000869738023197705	1	1	"s"
"ENSG00000005187"	0.00850927958399858	1	1	"s"
"ENSG00000005189"	1	1	1	"no-reg"
"ENSG00000005194"	0.00344364262448311	1	1	"s"
"ENSG00000005206"	0.568790846971115	1	3.89602921542189e-05	"d"
"ENSG00000005238"	0.000175830326083345	1	1	"s"
"ENSG00000005302"	0.000557366702642843	1	1	"s"
"ENSG00000005339"	1	1	0.0825538442014583	"no-reg"
"ENSG00000005379"	0.000142275478845626	1	1	"s"
"ENSG00000005436"	2.22989553589714e-06	0.237097708912591	1	"s"
"ENSG00000005448"	1	1	0.000328932269159277	"d"
"ENSG00000005469"	0.0496223186905062	1	1	"s"
"ENSG00000005471"	1	1	1	"no-reg"
"ENSG00000005483"	0.000107954584873173	1	1	"s"
"ENSG00000005486"	1	1	0.189703425781529	"no-reg"
"ENSG00000005700"	2.81927796826897e-05	0.258754192947616	1	"s"
"ENSG00000005801"	1	1	0.43503510646569	"no-reg"
"ENSG00000005810"	5.1944975404981e-10	1	0.887766362924511	"s"
"ENSG00000005812"	7.29216306944579e-05	1	0.000169988025078734	"sd"
"ENSG00000005882"	1.26436761377988e-14	0.0524651928724273	0.369213167052065	"s"
"ENSG00000005884"	2.65110106483497e-08	1	0.0658136210859286	"s"
"ENSG00000005889"	0.00836425495215402	1	1	"s"
"ENSG00000005893"	1	1	0.000146727972206462	"d"
"ENSG00000005961"	1	1	1	"no-reg"
"ENSG00000006007"	0.839227804780334	1	1	"no-reg"
"ENSG00000006015"	0.408006071568412	1	0.950303387985265	"no-reg"
"ENSG00000006016"	1	1	1	"no-reg"
"ENSG00000006025"	0.00538329193024113	1	0.599275814399964	"s"
"ENSG00000006042"	0.149795557268287	1	1	"no-reg"
"ENSG00000006047"	0.978295431179144	1	0.988128136699564	"no-reg"
"ENSG00000006062"	1	1	1	"no-reg"
"ENSG00000006118"	0.227336103376417	1	1	"no-reg"
"ENSG00000006125"	0.690511381634363	1	1	"no-reg"
"ENSG00000006194"	0.958193622761285	1	1	"no-reg"
"ENSG00000006282"	8.70056839833951e-14	0.769366684318845	1	"s"
"ENSG00000006327"	0.907723332678076	1	1	"no-reg"
"ENSG00000006432"	0.0515060812014241	1	0.840127828067943	"no-reg"
"ENSG00000006451"	1	1	0.000404959335481263	"d"
"ENSG00000006453"	0.0119027643311164	0.0915093219952538	1	"s"
"ENSG00000006459"	5.86938614825982e-14	0.000424276884161675	1	"sp"
"ENSG00000006468"	1	1	0.0308058816714116	"d"
"ENSG00000006530"	3.46561114401007e-07	1	1	"s"
"ENSG00000006534"	4.93530492752155e-07	0.810078637551826	1	"s"
"ENSG00000006576"	1	1	1	"no-reg"
"ENSG00000006606"	0.596069416790511	1	0.740157278364577	"no-reg"
"ENSG00000006607"	0.654835018771364	1	0.201923661655983	"no-reg"
"ENSG00000006611"	3.87148877997204e-12	1	0.720538495428592	"s"
"ENSG00000006634"	0.000329806856645927	1	0.815338580459214	"s"
"ENSG00000006652"	1	1	0.0787154861994476	"no-reg"
"ENSG00000006695"	0.0190394693227848	1	1	"s"
"ENSG00000006704"	0.0086261924936559	1	0.00407865334387831	"sd"
"ENSG00000006712"	0.917542662690349	1	7.26399403264038e-05	"d"
"ENSG00000006715"	4.50283431157764e-07	1	1	"s"
"ENSG00000006740"	0.0419526626780542	1	1	"s"
"ENSG00000006744"	4.69288308903658e-06	1	0.00421755394713433	"sd"
"ENSG00000006747"	1	1	1	"no-reg"
"ENSG00000006756"	1.09890417119526e-15	1	1	"s"
"ENSG00000006757"	1	1	0.350608312734729	"no-reg"
"ENSG00000006788"	0.652149060256206	1	0.664250837336052	"no-reg"
"ENSG00000006831"	0.607380128169933	1	1	"no-reg"
"ENSG00000007047"	2.54014030370138e-11	0.762310471994613	1	"s"
"ENSG00000007080"	9.30015588717602e-13	1	1	"s"
"ENSG00000007129"	1	1	1	"no-reg"
"ENSG00000007168"	1	1	1	"no-reg"
"ENSG00000007171"	0.00112275219378771	1	1	"s"
"ENSG00000007202"	1	1	7.4430699438933e-05	"d"
"ENSG00000007237"	0.574340346624545	1	1	"no-reg"
"ENSG00000007255"	1	4.94056725405007e-11	2.28461919050933e-18	"pd"
"ENSG00000007314"	0.713307549239111	1	1	"no-reg"
"ENSG00000007341"	0.151608378049182	1	1	"no-reg"
"ENSG00000007376"	0.59416526133071	1	7.50898579959639e-07	"d"
"ENSG00000007384"	4.50410815497231e-07	1	1	"s"
"ENSG00000007392"	1	1	1	"no-reg"
"ENSG00000007516"	0.760451218276744	1	1	"no-reg"
"ENSG00000007520"	1	1	0.211076713403188	"no-reg"
"ENSG00000007541"	2.35277834402057e-05	1	1	"s"
"ENSG00000007545"	0.00120327203780504	1	7.8122614687539e-05	"sd"
"ENSG00000007866"	4.44551770648565e-09	1	1	"s"
"ENSG00000007923"	0.215775269140111	1	0.000563026196465553	"d"
"ENSG00000007944"	0.000221724666726445	0.0515948049028254	1	"s"
"ENSG00000007952"	0.56153103295657	1	0.00254390002838836	"d"
"ENSG00000007968"	3.96647982389423e-08	1	1	"s"
"ENSG00000008018"	0.000117688092688805	1	1	"s"
"ENSG00000008083"	3.24051847935968e-08	1	4.15650237937325e-07	"sd"
"ENSG00000008086"	0.906308469908048	1	1	"no-reg"
"ENSG00000008130"	0.0135158286793221	1	1	"s"
"ENSG00000008226"	1	1	1	"no-reg"
"ENSG00000008256"	1	1	1	"no-reg"
"ENSG00000008282"	1	1	1	"no-reg"
"ENSG00000008283"	0.00474604631033911	1	1	"s"
"ENSG00000008294"	4.02851145467807e-15	0.0340695748714129	1	"sp"
"ENSG00000008300"	0.0662469019900363	1	1	"no-reg"
"ENSG00000008323"	5.65685829039045e-06	1	1	"s"
"ENSG00000008324"	1	1	1	"no-reg"
"ENSG00000008382"	0.425638708921641	1	0.56354620906338	"no-reg"
"ENSG00000008394"	0.000108764364959823	1	1	"s"
"ENSG00000008405"	0.511163857682983	1	0.962581769941994	"no-reg"
"ENSG00000008441"	0.180032106654642	1	1	"no-reg"
"ENSG00000008516"	0.512166263504703	1	0.963215954090354	"no-reg"
"ENSG00000008517"	0.849044709429722	1	1	"no-reg"
"ENSG00000008710"	0.0463338801855083	1	1	"s"
"ENSG00000008735"	0.540695285355593	1	1	"no-reg"
"ENSG00000008838"	0.000296887565846145	1	1	"s"
"ENSG00000008853"	0.0147357066881223	1	1	"s"
"ENSG00000008869"	0.194740475990274	1	0.321627664358063	"no-reg"
"ENSG00000008952"	0.523066499542932	1	0.959781356152535	"no-reg"
"ENSG00000008988"	0.00349551256532044	1	1	"s"
"ENSG00000009307"	0.00526670251273815	1	1	"s"
"ENSG00000009335"	1	0.0598411688132281	0.384188741363359	"no-reg"
"ENSG00000009413"	0.0403838517012126	1	1	"s"
"ENSG00000009724"	1	1	1	"no-reg"
"ENSG00000009765"	1	1	1	"no-reg"
"ENSG00000009780"	1	1	0.051414300603175	"no-reg"
"ENSG00000009830"	0.000850788417465728	1	1	"s"
"ENSG00000009844"	1	0.00734084536247119	0.0988495208923369	"p"
"ENSG00000009950"	1	1	0.285182610962255	"no-reg"
