#Cluster	# genes	A	A1	A2	A3	A4	A5	A7	A8	B	B1	B2	B3	B4	B5	B7	B8	C	C1	C2	C3	C4	C5	C7	C8	E	E1	E2	E3	F	F1	G	G1	G2	G3	G4	G6	G7	G8	H		I	I2	J	J1	J2	J3	J4	J5	J6	J7	J8	K	K1	K2	K3	L	L1	L2		5Z_PI	PD_PI	PI	5Z	PD	DMSO	#
P4_I6_M4	45	A	A1															C	C1																									J	J1																IE_u_4h	IE_u_4h		IE_u_4h	IE_u_4h	IE_u_4h	1
P2_I9_M8	75	A	A1		A3			A7										C	C1		C3			C7																				J	J1		J3				J7										IE_u_4h_transient	IE_u_4h_transient	IE_u_4h_transient	E_up_4h_transient	E_up_4h_transient		2
P3_I6_M16	36	A	A1		A3			A7										C	C1		C3			C7																				J	J1		J3				J7										IE_u_4h_transient	IE_u_4h_transient	IE_u_4h_transient	DE_d_transient_24h	DE_d_transient_24h		3
P5_I3_M2	37	A	A1		A3		A5											C	C1		C3		C5																					J	J1		J3		J5												IE_u_4h_transient	IE_u_4h_transient	E_u_4h_transient	E_u_8h	E_u_8h	E_u	4
P4_I6_M3	43	A	A1		A3			A7										C	C1		C3			C7																				J	J1		J3				J7										IE_u_4h_transient_24h	IE_u_4h_transient_24h	IE_u_4h_transient_24h				5
P7_I3_M2	37	A		A2					A8									C		C2					C8																			J		J2						J8									IE_u_8h	IE_u_8h	IE_u_8h	IE_d_4h_transient_8h	D_u_8h		6
P4_I6_M6	37	A		A2					A8									C		C2					C8																			J		J2						J8									IE_u_8h	IE_u_8h	IE_u_8h				7
P2_I9_M9	130	A		A2					A8									C		C2					C8																			J		J2						J8									IE_u_8h	IE_u_8h	IE_u_4h				8
P1_I11_M6	90	A		A2		A4												C		C2		C4																						J		J2		J4													IE_u_8h_transient	IE_u_8h_transient	IE_u_8h_transient	IE_u_8h_transient	IE_u_8h_transient		9
P7_I3_M1	33									B	B1		B3			B7		C	C1		C3			C7																				J	J1		J3				J7										E_u_2-4h_transient_8h	E_u_2-4h_transient_8h	E_u_2-4h_transient_8h	E_u_4h_transient_8h	E_u_4h_transient_8h	E_u_4h_transient_8h	10
P1_I11_M3	243									B	B1					B7		C	C1					C7																				J	J1						J7										E_u_4h	E_u_4h	E_u_4h	E_u_8h	E_u_8h	E_u 	11
P3_I6_M10	55									B	B1				B5			C	C1				C5																					J	J1				J5												E_u_4h	E_u_4h		E_u_8h	E_u_8h		12
P2_I9_M3	205									B	B1		B3			B7		C	C1		C3			C7																				J	J1		J3				J7										E_u_4h_transient	E_u_4h_transient	E_u_4h_transient	E_u_8h	E_u_8h		13
P4_I6_M5	36									B	B1		B3			B7		C	C1		C3			C7																				J	J1		J3				J7										E_u_4h_transient_	E_u_4h_transient_	E_u_4h_transient_				14
P2_I9_M5	168									B		B2					B8	C		C2					C8																			J		J2						J8									E_u_8h	E_u_8h	E_u_8h	DE_u_8h	DE_u_8h	DE_u	15
P1_I11_M7	133									B		B2		B4				C		C2		C4																						J		J2		J4													E_u_8h_transient_24h	E_u_8h		E_u_8h_transient_24h	E_u_8h		16
P1_I11_M8	54																									E	E1																										K	K1							DE_up_8h_transient	DE_up_8h_transient		DE_up_8h_transient	DE_up_8h_transient	down from 8h	17
