#: :filename=/home/mvazque2/.rbbt/tmp/tmp-143039950.gene_modules_summary_f01#:type=:double#:namespace=Hsa/may2017
#Ensembl Gene ID	Associated Gene Name	gene_biotype	deseq2.filter	deseq2.padj	deseq2.spline.filter	deseq2.spline.padj	deseq2.spline2.filter	deseq2.spline2.padj	hts.filter	Cluster
ENSG00000000003	TSPAN6	protein_coding	P	0.897268781616269	P	0.756117111447406	P	4.77896047178786e-10	P	UNCLASSIFIED
ENSG00000000419	DPM1	protein_coding	P	0.315155281220486	P	0.440127269477846	P	7.57404732805115e-05	P	P3_I6_M11
ENSG00000000457	SCYL3	protein_coding	P	0.0228378001178498	P	0.385290582363342	P	0.000104884147626546	P	UNCLASSIFIED
ENSG00000000460	C1orf112	protein_coding	P	9.79998352697509e-12	P	1.37376469173901e-14	P	1.25552524516304e-17	P	P1_I11_M1
ENSG00000001036	FUCA2	protein_coding	P	0.114272650720026	P	0.00983575865947047	P	0.28664792833598	P	UNCLASSIFIED
ENSG00000001084	GCLC	protein_coding	P	2.41777574922068e-12	P	5.30668052447213e-07	P	3.13401686110578e-16	P	P2_I9_M8
ENSG00000001167	NFYA	protein_coding	P	4.04477472269973e-32	P	8.07076150990576e-10	P	1.16918086367792e-14	P	UNCLASSIFIED
ENSG00000001460	STPG1	protein_coding	P	8.40673802831428e-06	P	1.42511520518436e-05	P	7.40813508932234e-44	P	P2_I9_M5
ENSG00000001461	NIPAL3	protein_coding	P	3.03131320605723e-46	P	3.45621084205664e-25	P	1.72786666202434e-64	P	P2_I9_M3
ENSG00000001497	LAS1L	protein_coding	P	1.57665213864445e-17	P	3.08580280672083e-19	P	4.87874489062715e-63	P	P1_I11_M1
ENSG00000001561	ENPP4	protein_coding	P	0.498694002839418	P	0.638656416805473	P	8.61493016248655e-10	P	P5_I3_M2
ENSG00000001617	SEMA3F	protein_coding	P	2.6290194014644e-28	P	4.44471126322087e-30	P	4.22749134620501e-44	P	P1_I11_M2
ENSG00000001626	CFTR	protein_coding	P	1.27505613769774e-08	P	4.41927310752997e-11	P	3.91981215641095e-86	P	P1_I11_M2
ENSG00000001629	ANKIB1	protein_coding	P	0.228016134270158	P	0.12776119207704	P	2.11674836551318e-31	P	P4_I6_M6
ENSG00000001630	CYP51A1	protein_coding	P	2.08402490008255e-10	P	1.99471713894027e-12	P	2.44312677654675e-29	P	P1_I11_M8
ENSG00000001631	KRIT1	protein_coding	P	0.216695811446308	P	0.132622395039786	P	2.73934561934967e-12	P	UNCLASSIFIED
ENSG00000002016	RAD52	protein_coding	P	0.00104087448064233	P	0.000996936238149233	P	7.16704283231888e-40	P	P2_I9_M5
ENSG00000002330	BAD	protein_coding	P	0.340614072687078	P	0.946312438622944	P	5.16127284585188e-11	P	P1_I11_M1
