#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/5Z_0-5h.txt#:type=:list
#Associated Gene Name	X5Z_0_5h_Rep1	X5Z_0_5h_Rep2	X5Z_0_5h_Rep3	X5Z_0_5h_Rep4	XDMSO_0_5h_Rep1_1	XDMSO_0_5h_Rep2_1	XDMSO_0_5h_Rep3_1	XDMSO_0_5h_Rep4_1	C: Student's T-test Significant 5Z_0.5h_DMSO_0.5h	C: Student's T-test significant	N: Valid values X5Z_0.5h	N: Valid values XDMSO_0.5h	N: -Log Student's T-test p-value 5Z_0.5h_DMSO_0.5h	N: Student's T-test q-value 5Z_0.5h_DMSO_0.5h	N: Student's T-test Difference 5Z_0.5h_DMSO_0.5h	N: Student's T-test Test statistic 5Z_0.5h_DMSO_0.5h
GNG10	18.1006	16.7857	17.3155	17.6529	17.6969	17.4215	17.5311	16.9497			4	4	0.0713324	0.945882	0.0638819	0.199407
TMA7	16.8492	14.9162	15.6242	16.2024	16.1581	16.8606	16.7289	18.8461			4	4	0.881076	0.38543	-1.25041	-1.74554
ALG9	17.2463	17.6487	17.5267	17.2848	17.545	17.4038	17.5847	17.3813			4	4	0.187111	0.838476	-0.0520582	-0.477411
ARHGEF18	15.0256	15.2496	14.8486	15.2251	15.2817	15.1841	14.4608	15.3233			4	4	0.0384419	0.971905	0.0247858	0.110931
TMED7	17.9159	17.8462	17.8253	17.8928	17.7408	17.7376	17.9257	18.0339			4	4	0.0486285	0.966387	0.010529	0.138905
ZFP91	15.226	15.6946	15.556	15.615	14.8581	15.3736	15.4406	15.201			4	4	0.93465	0.365173	0.304602	1.83464
C15orf38	16.4443	16.6346	16.9477	16.8088	16.7693	16.5236	17.2111	16.0735			4	4	0.0896886	0.92682	0.0644655	0.246633
RPL17	22.0591	21.9515	22.0079	22.1214	21.874	21.9307	21.9832	22.0105			4	4	0.920029	0.369457	0.0853558	1.81034
PPAN	17.7331	17.6196	17.7269	17.66	17.6379	17.63	17.5839	17.5782			4	4	1.31248	0.249347	0.0773983	2.46634
SRCAP	16.2989	16.2023	16.2333	16.0812	16.1792	16.2198	16.0233	15.8902			4	4	0.690344	0.483993	0.125826	1.42508
ZNF320	15.7884	14.8982	13.379	14.558	14.1134	14.0363	14.7559	15.1987			4	3	0.0823077	0.935191	0.129817	0.227814
ZNF845	15.7884	14.8982	13.379	14.558	14.1134	14.0363	14.7559	15.1987			4	3	0.0823077	0.935191	0.129817	0.227814
AHR	16.5806	16.5286	16.8706	16.3929	15.9773	15.8853	16.7264	16.292			4	4	0.875126	0.387733	0.372913	1.73563
PARL	16.2114	16.2149	16.3241	15.9181	16.7659	16.9899	17.0782	16.4839			4	4	2.23332	0.120644	-0.66234	-4.17535
GDPGP1	14.3101	14.6959	14.3261	14.1142	14.6901	14.455	14.6835	14.188			4	4	0.363222	0.698318	-0.142576	-0.839633
RBM47	17.3871	17.4513	17.4774	17.3985	17.4366	17.4976	17.6198	17.6531			4	4	1.17232	0.286605	-0.123205	-2.2302
TTC26	13.6221	11.3862	14.5545	14.8637	15.3482	15.5791	15.3325	14.3178			4	4	0.939462	0.362825	-1.53782	-1.84263
UBA6	19.4799	19.474	19.4751	19.4698	19.5572	19.4834	19.5045	19.4176			4	4	0.220718	0.80976	-0.0159488	-0.550951
ESYT2	18.1995	18.2374	18.2794	18.2087	18.2582	18.2936	18.352	18.3509			4	4	1.52106	0.208673	-0.0824118	-2.82575
MED19	15.8161	15.7882	15.9365	15.8605	16.1531	16.235	16.4042	16.4699			4	4	2.94057	0.0914043	-0.465231	-5.80465
KIAA1598	18.8211	18.8609	18.817	18.8371	18.8753	18.8311	18.858	18.8484			4	4	0.682567	0.487161	-0.0191755	-1.41183
ARHGAP10	15.5666	14.952	14.9816	14.8565	14.5761	15.0516	14.8692	15.3033			4	4	0.25593	0.779175	0.139135	0.625432
FAM168B	15.3388	14.5613	14.8063	15.4426	14.8765	14.44	14.4937	14.6609			4	4	0.914597	0.371684	0.419495	1.80131
ILVBL	18.2204	17.9255	18.1609	17.8367	18.3758	18.2646	18.0536	18.162			4	4	0.763436	0.443787	-0.178121	-1.54876
PLEKHG3	18.0376	18.3218	18.2638	18.239	17.9255	18.1769	18.0192	18.1215			4	4	0.950487	0.358904	0.154784	1.86095
SH3PXD2B	17.9683	18.0207	17.9427	17.9643	17.898	17.8996	17.892	17.9007			4	4	2.42682	0.109723	0.0764565	4.58704
NBAS	15.5483	15.4531	15.5261	15.2991	15.7718	15.5789	15.688	15.6775			4	4	1.74852	0.180447	-0.222362	-3.23298
TARSL2	14.4081	14.6402	14.1734	14.3658	13.862	14.4925	13.6771	14.2953			4	4	0.728778	0.462186	0.315132	1.49029
VWA8	21.1832	21.1169	21.1944	21.1846	21.1882	21.0284	21.1275	21.1496			4	4	0.563592	0.556384	0.0463519	1.20616
SBNO1	16.9697	16.9479	16.9921	17.039	17.1245	16.9871	17.0598	17.0069			4	4	0.779717	0.437395	-0.057385	-1.57613
GTPBP10	15.8579	16.1129	16.2595	16.1024	15.8321	16.1088	16.0775	15.9617			4	4	0.366133	0.696864	0.0881441	0.845225
WDR91	16.2293	15.3833	15.4589	16.0869	15.8861	15.9313	15.8342	15.9948			4	4	0.224831	0.805986	-0.122008	-0.559778
POTEF	14.3471	15.1365	15.3084	15.5851	16.141	16.496	15.5377	16.9382			4	4	1.60711	0.196712	-1.18392	-2.97767
TMEM189	16.6023	16.6392	16.7393	16.6951	17.0028	16.8582	16.5583	16.3629			4	4	0.0639653	0.951165	-0.026567	-0.18004
CNOT1	18.8313	18.8357	18.7966	18.752	18.9201	18.8387	18.8234	18.8169			4	4	0.728897	0.462459	-0.0458531	-1.49049
ARHGEF35	15.24	15.5648	15.4414	15.5734	15.4112	15.5505	15.6484	15.4394			4	4	0.246417	0.786363	-0.0574543	-0.605547
MAP1LC3B2	17.221	16.6848	16.634	17.1357	17.3772	17.0956	16.8513	16.6028			4	4	0.103127	0.914257	-0.0629039	-0.280344
MAP1LC3B	17.221	16.6848	16.634	17.1357	17.3772	17.0956	16.8513	16.6028			4	4	0.103127	0.914257	-0.0629039	-0.280344
FAM83G	16.16	15.968	15.7252	16.0045	15.8323	16.0798	16.023	15.8195			4	4	0.0835968	0.933633	0.0258067	0.231117
PGP	18.381	18.2103	18.1911	18.2632	18.2653	18.2921	18.4612	18.276			4	4	0.442916	0.6351	-0.0622354	-0.989455
C5orf51	16.1966	16.155	15.869	16.0174	16.3072	16.4283	16.5087	15.883			4	4	0.681131	0.487892	-0.222322	-1.40938
RCCD1	13.2473	13.513	13.579	13.3002	13.0019	13.0309	13.1375	13.1729			4	2	1.93752	0.1615	0.324086	3.58687
TUBAL3	18.1236	18.3477	18.3212	18.3158	18.7125	18.4672	17.6309	18.3677			4	4	0.0251282	0.980326	-0.0175295	-0.0735198
SMCHD1	17.5007	17.5691	17.532	17.4948	17.4688	17.4935	17.6135	17.6472			4	4	0.277986	0.764197	-0.0316052	-0.670908
GATSL2	14.9858	15.1845	14.9584	14.8739	15.4456	15.0307	15.4467	14.7869			4	4	0.452062	0.627977	-0.176777	-1.00626
UNC119B	16.6173	16.9361	16.8313	17.0092	16.7558	16.7384	16.7472	16.8714			4	4	0.329359	0.725495	0.0702639	0.77381
METTL15	15.3602	15.4213	15.3997	14.9309	15.334	15.2207	15.1921	15.1065			4	4	0.204209	0.823314	0.0646632	0.515147
CCDC85C	16.2952	16.3588	16.2283	16.264	15.6571	16.109	15.8907	16.2742			4	4	1.16684	0.288941	0.30385	2.22102
RGPD3	19.0329	18.9904	18.9237	18.9846	18.9002	18.9028	18.9105	18.8504			4	4	1.88831	0.161906	0.0919509	3.49321
RP11-683L23.1	19.8117	20.0631	19.1145	19.1728	20.0484	20.3884	19.3883	19.7523			4	4	0.512404	0.585321	-0.353829	-1.11547
ARHGAP32	13.8289	14.2062	14.0809	14.2271	14.109	14.0337	13.8279	13.2934			4	4	0.62463	0.518393	0.269766	1.31244
POM121C	16.8279	16.6594	16.8302	16.9327	16.8238	16.8084	16.8649	16.7052			4	4	0.0645554	0.950642	0.0119858	0.181601
C9orf169	17.2942	15.4521	16.1485	16.552	15.8763	15.9654	15.9317	16.429			4	4	0.325973	0.728253	0.311097	0.767146
SNRPG	20.3319	20.5337	20.476	20.2102	20.8028	20.6611	20.8084	20.7539			4	4	2.42467	0.108424	-0.368638	-4.58235
MIF4GD	14.3281	14.1517	14.5023	12.925	14.8931	14.7585	14.1177	14.2071			3	4	0.600416	0.533827	-0.517328	-1.27049
GPR89A	16.6092	16.2411	16.0547	16.1263	16.3635	16.1724	15.9858	16.3302			4	4	0.110212	0.908978	0.0448418	0.297841
GPR89B	16.6092	16.2411	16.0547	16.1263	16.3635	16.1724	15.9858	16.3302			4	4	0.110212	0.908978	0.0448418	0.297841
TMEM238	16.6758	16.2342	16.4464	16.5583	16.275	16.4594	16.2229	16.4076			4	4	0.59442	0.538914	0.137437	1.26006
FAM195B	16.6417	16.4947	16.551	16.3957	16.4143	16.2892	16.4271	16.2489			4	4	1.37981	0.238326	0.175941	2.58114
GOSR2	16.6678	16.5238	16.6078	16.6525	16.8288	16.6772	16.6523	17.0091			4	4	1.04866	0.328561	-0.178882	-2.02403
KLC1	18.2588	18.4465	18.5008	18.5343	18.3138	18.5344	18.3813	18.3533			4	4	0.199021	0.827711	0.0393715	0.50377
RAPGEF6	14.706	15.4881	16.2688	15.9989	16.5416	16.3091	16.5492	16.0739			4	4	1.08335	0.320436	-0.753031	-2.08173
RAPGEF2	14.706	15.4881	16.2688	15.9989	16.5416	16.3091	16.5492	16.0739			4	4	1.08335	0.320436	-0.753031	-2.08173
MTG1	17.1471	17.1782	17.0765	17.2334	17.0135	17.199	17.1179	17.1378			4	4	0.355663	0.704136	0.0417542	0.825063
VKORC1	16.9989	16.0298	16.4873	16.7422	16.3302	16.5459	16.4675	16.6287			4	4	0.12364	0.895422	0.0714321	0.330517
BCKDHA	16.9103	16.9245	17.0574	16.9452	17.0022	17.0771	17.1072	16.9745			4	4	0.895928	0.379494	-0.080883	-1.77026
SPECC1L	15.6682	16.0123	16.0402	16.0825	15.7647	15.8561	16.111	16.007			4	4	0.0458228	0.968567	0.0160925	0.131254
PTGR2	11.7464	11.2314	12.3609	11.8603	13.6135	12.0081	11.9986	13.2458			4	4	0.983868	0.347349	-0.916766	-1.91639
PI4K2B	15.3503	15.3993	15.3095	15.2637	15.8117	15.3881	15.5031	15.6352			4	4	1.4246	0.234344	-0.253807	-2.65813
