#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/5Z_8h.txt#:type=:list
#Associated Gene Name	X5Z_8h_Rep1	X5Z_8h_Rep2	X5Z_8h_Rep3	X5Z_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant 5Z_8h_DMSO_8h	C: Student's T-test significant	N: Valid values X5Z_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value 5Z_8h_DMSO_8h	N: Student's T-test q-value 5Z_8h_DMSO_8h	N: Student's T-test Difference 5Z_8h_DMSO_8h	N: Student's T-test Test statistic 5Z_8h_DMSO_8h
GNG10	18.1809	17.6053	17.355	16.7102	17.6104	18.2605	17.677	16.888			4	4	0.132797	0.909019	-0.146132	-0.352449
TMA7	17.4937	17.1957	14.3487	16.2583	16.0556	18.2451	14.2261	16.927			4	4	0.0120318	0.992485	-0.0393233	-0.0357047
ALG9	17.2938	17.5036	17.3585	17.5766	17.5352	17.3862	17.5654	17.3569			4	4	0.124872	0.913896	-0.027792	-0.333483
ARHGEF18	15.5514	14.6375	15.0868	15.5688	15.1912	15.2218	14.7569	15.2327			4	4	0.171703	0.880689	0.110451	0.442786
TMED7	17.9267	17.7258	17.8408	17.9162	17.8669	17.8854	17.8947	17.9376			4	4	0.394364	0.74317	-0.0437727	-0.898959
ZFP91	15.1881	15.4475	15.6765	15.7424	14.945	14.824	15.3953	15.4368			4	4	0.924101	0.502443	0.363354	1.81711
C15orf38	16.7645	16.7789	16.9559	17.1317	16.6813	16.4851	17.1019	16.7428			4	4	0.448403	0.709184	0.154957	0.999546
RPL17	21.892	21.8869	22.0341	22.0548	21.9444	21.8576	22.022	22.0331			4	4	0.0147971	0.990579	0.00265408	0.0437774
PPAN	17.6054	17.5439	17.6235	17.5804	17.528	17.5594	17.7048	17.615			4	4	0.118281	0.91866	-0.0134702	-0.317552
SRCAP	16.2795	16.1007	16.2329	15.9007	16.0376	16.1079	16.273	15.8438			4	4	0.202709	0.864225	0.0628912	0.511865
ZNF320	15.691	14.9788	14.4159	14.6547	15.2555	15.3187	14.0742	14.7673			4	4	0.0727942	0.951129	0.0811667	0.20322
ZNF845	15.691	14.9788	14.4159	14.6547	15.2555	15.3187	14.0742	14.7673			4	4	0.0727942	0.951129	0.0811667	0.20322
AHR	16.831	16.3812	16.6713	17.236	16.1213	16.7252	16.9697	16.9308			4	4	0.132431	0.908564	0.0931416	0.351578
PARL	16.1985	16.2382	16.3322	16.7606	17.1435	16.6824	17.2697	16.8776			4	4	1.78953	0.284014	-0.610938	-3.30847
GDPGP1	14.0268	14.0913	14.5544	14.6262	14.7333	14.3402	14.7181	14.5077			4	4	0.66629	0.608808	-0.250156	-1.38403
RBM47	17.7442	17.7157	17.6347	17.6766	17.5656	17.4938	17.6256	17.6016			4	4	1.75578	0.285563	0.121147	3.24629
