#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI5Z_0.5h.txt#:type=:list
#Associated Gene Name	XPI5Z_0_5h_Rep1	XPI5Z_0_5h_Rep2	XPI5Z_0_5h_Rep3	XPI5Z_0_5h_Rep4	XDMSO_0_5h_Rep1_1	XDMSO_0_5h_Rep2_1	XDMSO_0_5h_Rep3_1	XDMSO_0_5h_Rep4_1	C: Student's T-test Significant PI5Z_0.5h_DMSO_0.5h	C: Student's T-test significant	N: Valid values XPI5Z_0.5h	N: Valid values XDMSO_0.5h	N: -Log Student's T-test p-value PI5Z_0.5h_DMSO_0.5h	N: Student's T-test q-value PI5Z_0.5h_DMSO_0.5h	N: Student's T-test Difference PI5Z_0.5h_DMSO_0.5h	N: Student's T-test Test statistic PI5Z_0.5h_DMSO_0.5h
GNG10	18.0173	17.7979	17.431	17.0611	17.6969	17.4215	17.5311	16.9497			4	4	0.277358	0.820344	0.177027	0.669625
TMA7	12.6028	14.4997	13.0627	14.847	16.1581	16.8606	16.7289	18.8461			4	4	2.26707	0.188806	-3.3954	-4.24553
ALG9	17.0672	17.4306	17.4444	17.3229	17.545	17.4038	17.5847	17.3813			4	4	0.799085	0.523086	-0.162403	-1.60862
ARHGEF18	15.6394	15.5344	15.6471	15.5874	15.2817	15.1841	14.4608	15.3233			4	4	1.41451	0.324303	0.539647	2.64073
TMED7	17.7916	17.8625	17.9122	17.8875	17.7408	17.7376	17.9257	18.0339			4	4	0.017281	0.990394	0.00394583	0.050988
ZFP91	15.1453	15.6202	15.5003	15.5311	14.8581	15.3736	15.4406	15.201			4	4	0.665762	0.588723	0.23092	1.38313
C15orf38	16.4611	17.0446	16.8477	16.7687	16.7693	16.5236	17.2111	16.0735			4	4	0.202028	0.869589	0.136129	0.510372
RPL17	22.0835	21.9678	22.0455	22.1536	21.874	21.9307	21.9832	22.0105			4	4	1.21521	0.372841	0.11297	2.30211
PPAN	17.6549	17.6779	17.6481	17.744	17.6379	17.63	17.5839	17.5782			4	4	1.48147	0.312384	0.0737419	2.75662
SRCAP	16.3188	16.092	15.9834	15.9975	16.1792	16.2198	16.0233	15.8902			4	4	0.0650889	0.959458	0.0198131	0.18301
ZNF320	15.2556	14.7808	14.9947	13.7904	14.1134	14.0363	14.7559	15.1987			4	3	0.163468	0.889506	0.179263	0.424027
ZNF845	15.2556	14.7808	14.9947	13.7904	14.1134	14.0363	14.7559	15.1987			4	3	0.163468	0.889506	0.179263	0.424027
AHR	15.8966	16.0301	16.1882	15.781	15.9773	15.8853	16.7264	16.292			4	4	0.547434	0.657664	-0.246296	-1.1777
PARL	17.0774	17.1097	17.0271	16.5904	16.7659	16.9899	17.0782	16.4839			4	4	0.280822	0.82088	0.121689	0.676697
GDPGP1	14.3114	14.6482	14.5103	13.6883	14.6901	14.455	14.6835	14.188			4	4	0.386037	0.748486	-0.214591	-0.883201
RBM47	17.4196	17.4254	17.6167	17.502	17.4366	17.4976	17.6198	17.6531			4	4	0.388398	0.747528	-0.0608764	-0.887677
TTC26	14.4344	16.3412	15.4396	14.9822	15.3482	15.5791	15.3325	14.3178			4	4	0.117226	0.918786	0.154924	0.314987
UBA6	19.5454	19.4091	19.5246	19.484	19.5572	19.4834	19.5045	19.4176			4	4	0.000856609	0.999784	0.000107288	0.00257421
ESYT2	18.3915	18.2917	18.3632	18.3598	18.2582	18.2936	18.352	18.3509			4	4	0.567148	0.643552	0.0378904	1.2124
MED19	16.1031	16.1954	16.3791	16.2638	16.1531	16.235	16.4042	16.4699			4	4	0.372379	0.758206	-0.0802183	-0.857189
KIAA1598	18.8919	18.8285	18.8998	18.9153	18.8753	18.8311	18.858	18.8484			4	4	0.702582	0.570639	0.0306802	1.44589
ARHGAP10	15.021	15.6925	15.0295	15.0008	14.5761	15.0516	14.8692	15.3033			4	4	0.467538	0.703642	0.235921	1.03453
FAM168B	14.5642	15.0907	14.9792	14.8905	14.8765	14.44	14.4937	14.6609			4	4	0.887649	0.484516	0.263384	1.75648
ILVBL	18.0849	18.3308	18.2038	17.9171	18.3758	18.2646	18.0536	18.162			4	4	0.299153	0.80921	-0.0798707	-0.713789
PLEKHG3	17.9267	18.2734	17.9898	18.3036	17.9255	18.1769	18.0192	18.1215			4	4	0.225952	0.854817	0.0625844	0.562179
SH3PXD2B	18.1533	18.1054	17.9888	17.9045	17.898	17.8996	17.892	17.9007			4	4	1.32698	0.333824	0.14045	2.49098
NBAS	15.5726	15.2588	15.7539	15.3901	15.7718	15.5789	15.688	15.6775			4	4	0.800692	0.522524	-0.185185	-1.61132
TARSL2	14.3766	14.6019	14.7188	13.9232	13.862	14.4925	13.6771	14.2953			4	4	0.591708	0.630134	0.323418	1.25534
VWA8	21.3303	21.1396	21.2752	21.0898	21.1882	21.0284	21.1275	21.1496			4	4	0.614484	0.614272	0.0852942	1.2949
SBNO1	17.101	16.9532	16.9873	17.1492	17.1245	16.9871	17.0598	17.0069			4	4	0.0189961	0.989536	0.0031085	0.0559442
GTPBP10	16.1358	16.1516	16.22	16.1038	15.8321	16.1088	16.0775	15.9617			4	4	1.23678	0.362437	0.15776	2.33838
WDR91	15.6453	15.7354	15.7689	15.8513	15.8861	15.9313	15.8342	15.9948			4	4	1.59554	0.293662	-0.16137	-2.95709
POTEF	13.8866	16.615	15.7829	16.541	16.141	16.496	15.5377	16.9382			4	4	0.351085	0.774117	-0.571829	-0.816207
TMEM189	16.789	16.7055	16.7578	16.4781	17.0028	16.8582	16.5583	16.3629			4	4	0.0276519	0.981815	-0.0129619	-0.0806886
CNOT1	18.9043	18.8905	18.9191	18.7959	18.9201	18.8387	18.8234	18.8169			4	4	0.320212	0.796581	0.027688	0.755773
ARHGEF35	15.6632	15.6058	15.6316	15.6053	15.4112	15.5505	15.6484	15.4394			4	4	1.0541	0.42393	0.114079	2.03307
MAP1LC3B2	17.2826	16.8946	16.8088	17.2339	17.3772	17.0956	16.8513	16.6028			4	4	0.135462	0.905613	0.0732403	0.358782
MAP1LC3B	17.2826	16.8946	16.8088	17.2339	17.3772	17.0956	16.8513	16.6028			4	4	0.135462	0.905613	0.0732403	0.358782
FAM83G	15.6937	16.0348	15.9646	15.9587	15.8323	16.0798	16.023	15.8195			4	4	0.0934601	0.937993	-0.025641	-0.256165
PGP	18.1957	18.2192	18.2001	18.1783	18.2653	18.2921	18.4612	18.276			4	4	1.43107	0.320917	-0.125313	-2.66928
C5orf51	16.6219	16.3916	16.2326	16.0535	16.3072	16.4283	16.5087	15.883			4	4	0.0846533	0.945166	0.043088	0.233819
TUBAL3	18.5559	18.3078	18.3734	18.3783	18.7125	18.4672	17.6309	18.3677			4	4	0.178274	0.881345	0.109268	0.457627
SMCHD1	17.5598	17.5888	17.5983	17.5037	17.4688	17.4935	17.6135	17.6472			4	4	0.0492905	0.965444	0.0068655	0.140705
GATSL2	15.482	15.5276	15.3255	14.8313	15.4456	15.0307	15.4467	14.7869			4	4	0.197631	0.872115	0.11413	0.50071
UNC119B	16.7005	16.8572	16.7522	16.6138	16.7558	16.7384	16.7472	16.8714			4	4	0.338781	0.781884	-0.0473018	-0.792272
METTL15	15.2655	14.9838	15.1747	15.359	15.334	15.2207	15.1921	15.1065			4	4	0.067444	0.956999	-0.0175614	-0.189216
CCDC85C	16.2052	16.3858	15.9732	16.4258	15.6571	16.109	15.8907	16.2742			4	4	0.773215	0.538565	0.264752	1.56521
RGPD3	18.9882	18.9375	18.9529	18.9602	18.9002	18.9028	18.9105	18.8504			4	4	2.13174	0.219237	0.0687394	3.96805
RP11-683L23.1	20.0565	20.0818	19.2713	19.9998	20.0484	20.3884	19.3883	19.7523			4	4	0.0511411	0.965419	-0.0420208	-0.145723
ARHGAP32	14.0878	14.3093	13.5502	13.7013	14.109	14.0337	13.8279	13.2934			4	4	0.144259	0.901082	0.0961721	0.379526
POM121C	17.0468	16.9301	16.9429	16.8368	16.8238	16.8084	16.8649	16.7052			4	4	1.35037	0.337112	0.138596	2.53082
C9orf169	16.533	16.5645	16.3398	16.0304	15.8763	15.9654	15.9317	16.429			4	4	0.906557	0.479395	0.316303	1.78794
SNRPG	20.8972	20.9105	20.5075	20.5371	20.8028	20.6611	20.8084	20.7539			4	4	0.143045	0.902367	-0.0434985	-0.376679
MIF4GD	13.3213	15.2343	13.8811	14.6726	14.8931	14.7585	14.1177	14.2071			4	4	0.182049	0.880206	-0.216799	-0.466102
GPR89A	16.3231	15.9739	16.0069	16.0419	16.3635	16.1724	15.9858	16.3302			4	4	0.489129	0.69048	-0.126525	-1.07367
GPR89B	16.3231	15.9739	16.0069	16.0419	16.3635	16.1724	15.9858	16.3302			4	4	0.489129	0.69048	-0.126525	-1.07367
TMEM238	16.2358	16.7634	16.2281	16.3879	16.275	16.4594	16.2229	16.4076			4	4	0.177706	0.881855	0.0625467	0.456348
FAM195B	16.4551	16.4784	16.4858	16.3542	16.4143	16.2892	16.4271	16.2489			4	4	0.927931	0.468633	0.0985241	1.82347
GOSR2	16.3181	17.3018	16.9041	16.7887	16.8288	16.6772	16.6523	17.0091			4	4	0.0587773	0.961786	0.0363297	0.166253
KLC1	18.3465	18.4777	18.4152	18.4658	18.3138	18.5344	18.3813	18.3533			4	4	0.214995	0.860171	0.0305624	0.538606
RAPGEF6	15.5032	15.9321	16.161	16.2983	16.5416	16.3091	16.5492	16.0739			4	4	0.975817	0.451298	-0.394809	-1.90302
RAPGEF2	15.5032	15.9321	16.161	16.2983	16.5416	16.3091	16.5492	16.0739			4	4	0.975817	0.451298	-0.394809	-1.90302
MTG1	17.0273	17.2534	17.251	17.1175	17.0135	17.199	17.1179	17.1378			4	4	0.278893	0.820724	0.0452523	0.672761
VKORC1	16.341	16.5977	16.5792	16.1578	16.3302	16.5459	16.4675	16.6287			4	4	0.246268	0.83981	-0.0741782	-0.605235
BCKDHA	17.1294	16.9789	17.3042	16.9133	17.0022	17.0771	17.1072	16.9745			4	4	0.173214	0.883587	0.041204	0.446209
SPECC1L	15.8058	16.0371	15.9446	15.978	15.7647	15.8561	16.111	16.007			4	4	0.0248346	0.983774	0.00664496	0.0726833
PTGR2	10.7542	13.1367	11.9619	12.5544	13.6135	12.0081	11.9986	13.2458			4	4	0.412306	0.73805	-0.614747	-0.932668
PI4K2B	15.0426	15.8877	15.6522	15.1239	15.8117	15.3881	15.5031	15.6352			4	4	0.294818	0.811038	-0.157913	-0.705064
TRAPPC2L	17.2481	17.4584	17.0178	17.2744	17.3522	17.514	16.8676	17.1841			4	4	0.042571	0.967755	0.0201941	0.122336
PAGR1	16.4024	16.006	16.1445	16.1143	16.3792	16.1235	15.9589	15.4595			4	4	0.385751	0.748134	0.186533	0.882659
STX16	16.531	16.2201	16.0683	15.9564	16.4224	16.1704	16.2063	16.205			4	4	0.159628	0.891468	-0.0570467	-0.415215
SYS1	14.6849	17.2373	15.9885	15.5291	15.792	15.7836	15.8029	14.3924			4	4	0.270044	0.823217	0.417234	0.65463
RPL36A	19.2939	19.679	19.3055	19.5626	19.0036	19.5451	19.5608	20.5969			4	4	0.255448	0.834279	-0.216354	-0.624428
RPL26	22.0598	22.1728	22.2868	22.531	22.0226	22.2833	22.3951	22.7614			4	4	0.22561	0.85461	-0.102983	-0.561447
VAMP2	17.448	17.6548	17.6942	17.7067	17.4104	17.3683	17.3969	17.6184			4	4	1.11339	0.406833	0.177404	2.13177
DNASE2	17.499	17.5195	17.8547	17.6401	17.7218	17.574	18.0059	17.7911			4	4	0.556746	0.651401	-0.144918	-1.19412
AGPS	19.7393	19.7579	19.8584	19.727	19.7327	19.7576	19.8082	19.7867			4	4	0.00628151	0.995905	-0.000641346	-0.0187606
KIF2A	18.9742	18.9054	18.8965	18.9163	18.9702	18.9586	18.8797	18.8091			4	4	0.175031	0.883972	0.018682	0.450317
DDX39A	22.721	22.6481	22.7093	22.6385	22.6212	22.5441	22.6027	22.634			4	4	1.46339	0.317268	0.078722	2.7252
PDLIM1	21.5417	21.76	21.6806	21.7741	21.4836	21.6008	21.6252	21.528			4	4	1.08031	0.416723	0.129721	2.07667
ACOT7	21.0611	21.1488	20.9814	21.0105	21.0277	20.9793	20.8829	20.9523			4	4	0.968788	0.45275	0.0898967	1.89135
MYO1C	19.9523	19.8798	19.9645	19.9238	19.9899	19.9723	19.9931	19.9759			4	4	1.44972	0.316886	-0.0526977	-2.70152
SNAP23	17.7471	17.8257	17.8106	17.9058	17.5763	17.5963	17.8767	17.8714			4	4	0.465574	0.704534	0.0921202	1.03096
HAX1	16.5604	16.3454	16.5194	15.9572	16.4168	14.9461	16.6474	16.3643			4	4	0.249848	0.837637	0.251909	0.612739
AIP	17.91	17.7779	18.0028	17.9022	17.9928	17.9492	17.8531	17.7436			4	4	0.0668652	0.957361	0.013526	0.187693
