#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI5Z_8h.txt#:type=:list
#Associated Gene Name	XPI5Z_8h_Rep1	XPI5Z_8h_Rep2	XPI5Z_8h_Rep3	XPI5Z_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant PI5Z_8h_DMSO_8h	C: Student's T-test significant	N: Valid values XPI5Z_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value PI5Z_8h_DMSO_8h	N: Student's T-test q-value PI5Z_8h_DMSO_8h	N: Student's T-test Difference PI5Z_8h_DMSO_8h	N: Student's T-test Test statistic PI5Z_8h_DMSO_8h
GNG10	17.9753	17.3143	17.9204	16.9675	17.6104	18.2605	17.677	16.888			4	4	0.0615053	0.950455	-0.06457	-0.173519
TMA7	11.3245	12.8814	14.1371	13.5485	16.0556	18.2451	14.2261	16.927			4	4	1.76646	0.171127	-3.39057	-3.26592
ALG9	17.1084	17.4353	17.4671	17.4291	17.5352	17.3862	17.5654	17.3569			4	4	0.458301	0.639076	-0.100925	-1.01768
ARHGEF18	15.3689	15.5302	15.1628	14.438	15.1912	15.2218	14.7569	15.2327			4	4	0.031291	0.972208	0.0242865	0.0909613
TMED7	17.9173	17.8592	17.6205	17.8658	17.8669	17.8854	17.8947	17.9376			4	4	0.55058	0.583349	-0.0804729	-1.18325
ZFP91	15.4081	15.592	15.4785	15.8061	14.945	14.824	15.3953	15.4368			4	4	1.24994	0.275239	0.420894	2.36055
C15orf38	16.9183	16.7681	16.8772	16.8395	16.6813	16.4851	17.1019	16.7428			4	4	0.311663	0.740205	0.09797	0.738807
RPL17	21.9548	21.9517	21.8423	22.1776	21.9444	21.8576	22.022	22.0331			4	4	0.0765867	0.938017	0.0173225	0.213071
PPAN	17.6384	17.6109	17.66	17.6088	17.528	17.5594	17.7048	17.615			4	4	0.283643	0.764495	0.0277295	0.68244
SRCAP	16.3126	16.28	16.3613	16.1619	16.0376	16.1079	16.273	15.8438			4	4	1.13402	0.307447	0.213342	2.16619
ZNF320	15.1876	14.8534	15.261	14.7191	15.2555	15.3187	14.0742	14.7673			4	4	0.187981	0.844711	0.151354	0.479348
ZNF845	15.1876	14.8534	15.261	14.7191	15.2555	15.3187	14.0742	14.7673			4	4	0.187981	0.844711	0.151354	0.479348
AHR	15.9162	15.7742	15.8314	15.4445	16.1213	16.7252	16.9697	16.9308			4	4	2.27742	0.115828	-0.945143	-4.26718
PARL	17.1561	17.0809	16.8971	17.0059	17.1435	16.6824	17.2697	16.8776			4	4	0.107606	0.914903	0.0416894	0.291426
GDPGP1	14.4928	14.2684	14.619	13.9672	14.7333	14.3402	14.7181	14.5077			4	4	0.671362	0.508844	-0.237988	-1.39271
RBM47	17.7299	17.8547	17.7145	17.8128	17.5656	17.4938	17.6256	17.6016			4	4	2.46811	0.097475	0.206304	4.67794
TTC26	16.1686	15.7146	15.0395	15.2927	14.3493	13.9136	15.6594	15.1531			4	4	0.848609	0.413727	0.784998	1.69143
UBA6	19.5057	19.4301	19.5039	19.4494	19.4447	19.4475	19.4763	19.5043			4	4	0.0607399	0.950427	0.00407219	0.171483
ESYT2	18.3087	18.2633	18.2961	18.3496	18.2812	18.3586	18.3777	18.361			4	4	0.697293	0.496036	-0.0402231	-1.4369
