#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PIPD_0.5h.txt#:type=:list
#Associated Gene Name	XPIPD_0_5h_Rep1	XPIPD_0_5h_Rep2	XPIPD_0_5h_Rep3	XPIPD_0_5h_Rep4	XDMSO_0_5h_Rep1_1	XDMSO_0_5h_Rep2_1	XDMSO_0_5h_Rep3_1	XDMSO_0_5h_Rep4_1	C: Student's T-test Significant PIPD_0.5h_DMSO_0.5h	C: Student's T-test significant	N: Valid values XPIPD_0.5h	N: Valid values XDMSO_0.5h	N: -Log Student's T-test p-value PIPD_0.5h_DMSO_0.5h	N: Student's T-test q-value PIPD_0.5h_DMSO_0.5h	N: Student's T-test Difference PIPD_0.5h_DMSO_0.5h	N: Student's T-test Test statistic PIPD_0.5h_DMSO_0.5h
GNG10	18.144	17.1907	17.8033	17.0426	17.6969	17.4215	17.5311	16.9497			4	4	0.187114	0.892145	0.145335	0.477417
TMA7	16.9343	16.0234	17.6778	16.0619	16.1581	16.8606	16.7289	18.8461			3	4	0.277905	0.838551	-0.474086	-0.670743
ALG9	17.1205	17.3301	17.3995	17.2844	17.545	17.4038	17.5847	17.3813			4	4	1.33376	0.262066	-0.195076	-2.50251
ARHGEF18	15.4189	15.1244	15.4906	15.3728	15.2817	15.1841	14.4608	15.3233			4	4	0.633849	0.577698	0.289207	1.32834
TMED7	17.916	17.6909	17.8848	17.7843	17.7408	17.7376	17.9257	18.0339			4	4	0.177133	0.896393	-0.0405087	-0.455057
ZFP91	13.7498	15.212	15.3478	15.6681	14.8581	15.3736	15.4406	15.201			4	4	0.198591	0.885783	-0.223877	-0.502823
C15orf38	16.7345	16.5844	16.6157	17.1166	16.7693	16.5236	17.2111	16.0735			4	4	0.171919	0.898432	0.118442	0.443276
RPL17	21.9536	21.9924	22.0838	22.2693	21.874	21.9307	21.9832	22.0105			4	4	0.815212	0.467969	0.125179	1.63563
PPAN	17.8428	17.6802	17.6659	17.7556	17.6379	17.63	17.5839	17.5782			4	4	1.5975	0.2051	0.128635	2.96058
SRCAP	16.0429	16.1158	16.176	16.213	16.1792	16.2198	16.0233	15.8902			4	4	0.291238	0.829676	0.058804	0.697839
ZNF320	13.8732	13.9964	14.3526	13.7943	14.1134	14.0363	14.7559	15.1987			4	3	0.869052	0.44219	-0.521971	-1.72551
ZNF845	13.8732	13.9964	14.3526	13.7943	14.1134	14.0363	14.7559	15.1987			4	3	0.869052	0.44219	-0.521971	-1.72551
AHR	15.5474	15.7435	16.624	16.4086	15.9773	15.8853	16.7264	16.292			4	4	0.16821	0.900681	-0.139404	-0.43485
PARL	16.0288	16.7841	16.1221	16.3553	16.7659	16.9899	17.0782	16.4839			4	4	1.25206	0.287689	-0.506902	-2.36413
GDPGP1	15.1112	14.468	14.1652	14.6663	14.6901	14.455	14.6835	14.188			4	4	0.164437	0.901523	0.0985291	0.426244
RBM47	17.4469	17.4835	17.5928	17.3225	17.4366	17.4976	17.6198	17.6531			4	4	0.558699	0.627194	-0.090374	-1.19756
TTC26	17.0077	15.2127	15.2969	15.0471	15.3482	15.5791	15.3325	14.3178			4	4	0.407396	0.742113	0.496705	0.923475
UBA6	19.4322	19.4476	19.5102	19.3471	19.5572	19.4834	19.5045	19.4176			4	4	0.60163	0.599939	-0.0563822	-1.2726
ESYT2	18.1848	18.2426	18.3022	18.4206	18.2582	18.2936	18.352	18.3509			4	4	0.184457	0.893643	-0.0261173	-0.471489
MED19	15.9492	15.7413	15.8433	16.0344	16.1531	16.235	16.4042	16.4699			4	4	2.32192	0.145458	-0.423506	-4.36103
KIAA1598	18.6658	18.8889	18.9294	18.856	18.8753	18.8311	18.858	18.8484			4	4	0.11427	0.92812	-0.0181847	-0.307782
ARHGAP10	15.5792	15.5359	15.0589	15.201	14.5761	15.0516	14.8692	15.3033			4	4	1.02122	0.372153	0.393743	1.97843
FAM168B	15.5506	14.9518	15.4349	14.9159	14.8765	14.44	14.4937	14.6609			4	4	1.68975	0.190863	0.595525	3.12596
ILVBL	18.7034	18.0621	17.8727	18.1137	18.3758	18.2646	18.0536	18.162			4	4	0.0473829	0.96966	-0.0260549	-0.135514
PLEKHG3	18.0319	18.3687	18.1993	18.2541	17.9255	18.1769	18.0192	18.1215			4	4	0.85768	0.451143	0.152723	1.70656
SH3PXD2B	18.0092	18.1125	17.9308	17.9092	17.898	17.8996	17.892	17.9007			4	4	1.04371	0.363917	0.0928369	2.01579
