#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PIPD_2h.txt#:type=:list
#Associated Gene Name	XPIPD_2h_Rep1	XPIPD_2h_Rep2	XPIPD_2h_Rep3	XPIPD_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant PIPD_2h_DMSO_2h	C: Student's T-test significant	N: Valid values XPIPD_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value PIPD_2h_DMSO_2h	N: Student's T-test q-value PIPD_2h_DMSO_2h	N: Student's T-test Difference PIPD_2h_DMSO_2h	N: Student's T-test Test statistic PIPD_2h_DMSO_2h
GNG10	17.093	17.2561	17.5572	17.5698	18.241	17.7614	17.8154	17.3437			4	4	0.995323	0.368579	-0.421347	-1.93541
TMA7	13.3777	16.5641	13.4395	14.1079	14.4617	16.508	16.2799	19.0797			4	4	0.929897	0.384547	-2.21005	-1.82674
ALG9	17.3929	17.4727	17.455	17.2504	17.3601	17.6168	17.6662	17.4431			4	4	0.713836	0.474872	-0.128795	-1.46499
ARHGEF18	15.4899	15.3369	14.9075	15.5014	15.3525	15.0095	14.8205	15.4162			4	4	0.344416	0.711699	0.159281	0.803257
TMED7	17.7852	17.7827	17.721	17.8903	17.841	17.8508	17.8908	18.0839			4	4	0.928791	0.385426	-0.121841	-1.8249
ZFP91	15.4111	15.4121	15.5383	15.7646	15.1784	15.1505	15.2407	15.2885			4	4	1.92776	0.169748	0.317	3.56821
C15orf38	16.3868	16.6311	16.5397	16.6488	17.2034	16.7372	16.93	16.8891			4	4	1.84023	0.181114	-0.388326	-3.40276
RPL17	22.0107	21.9192	21.9933	22.0644	21.9233	21.8763	22.0465	21.9743			4	4	0.387121	0.681939	0.0417914	0.885257
PPAN	17.627	17.6393	17.7509	17.8323	17.698	17.5813	17.5338	17.5586			4	4	1.01322	0.361354	0.119461	1.96514
SRCAP	16.3491	16.1446	16.2523	16.1782	16.0652	15.7898	16.1263	16.0879			4	4	1.27033	0.295395	0.213731	2.39495
ZNF320	15.4172	14.4827	14.9408	14.1063	14.2869	14.1439	13.9482	15.3632			4	3	0.296274	0.744951	0.301211	0.708
ZNF845	15.4172	14.4827	14.9408	14.1063	14.2869	14.1439	13.9482	15.3632			4	3	0.296274	0.744951	0.301211	0.708
AHR	15.9524	15.5885	16.3183	15.9434	16.456	17.2222	16.7487	16.3333			4	4	1.61265	0.217927	-0.739428	-2.98753
