#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PD_0-5h.txt#:type=:list
#Associated Gene Name	XPD_0_5h_Rep1	XPD_0_5h_Rep2	XPD_0_5h_Rep3	XPD_0_5h_Rep4	XDMSO_0_5h_Rep1_1	XDMSO_0_5h_Rep2_1	XDMSO_0_5h_Rep3_1	XDMSO_0_5h_Rep4_1	C: Student's T-test Significant PD_0.5h_DMSO_0.5h	C: Student's T-test significant	N: Valid values XPD_0.5h	N: Valid values XDMSO_0.5h	N: -Log Student's T-test p-value PD_0.5h_DMSO_0.5h	N: Student's T-test q-value PD_0.5h_DMSO_0.5h	N: Student's T-test Difference PD_0.5h_DMSO_0.5h	N: Student's T-test Test statistic PD_0.5h_DMSO_0.5h
GNG10	18.5189	17.3578	17.6836	17.0243	17.6969	17.4215	17.5311	16.9497			4	4	0.286062	1	0.246352	0.687355
TMA7	19.3012	13.8431	13.2023	14.0165	16.1581	16.8606	16.7289	18.8461			4	4	0.642955	1	-2.05764	-1.34402
ALG9	16.9529	17.4208	17.5148	17.6626	17.545	17.4038	17.5847	17.3813			4	4	0.226423	1	-0.0908999	-0.563185
ARHGEF18	15.3204	15.4348	15.2635	15.8102	15.2817	15.1841	14.4608	15.3233			3	4	0.833033	1	0.39477	1.66542
TMED7	17.8275	17.9141	17.9152	17.7476	17.7408	17.7376	17.9257	18.0339			4	4	0.0348419	1	-0.00839758	-0.100913
ZFP91	15.0039	15.2874	15.5186	15.1695	14.8581	15.3736	15.4406	15.201			4	4	0.0552371	1	0.026547	0.15677
C15orf38	15.2231	16.5797	16.4157	16.7882	16.7693	16.5236	17.2111	16.0735			4	4	0.408821	1	-0.392711	-0.926144
RPL17	22.0062	22.0377	22.0932	22.1279	21.874	21.9307	21.9832	22.0105			4	4	1.54483	0.810333	0.116648	2.86747
PPAN	17.7533	17.6941	17.6849	17.6406	17.6379	17.63	17.5839	17.5782			4	4	1.66549	0.819074	0.0857229	3.08218
SRCAP	16.5066	16.1599	15.9942	16.1604	16.1792	16.2198	16.0233	15.8902			4	4	0.430153	1	0.127165	0.965882
AHR	15.2049	15.9661	16.4784	16.2129	15.9773	15.8853	16.7264	16.292			4	4	0.324125	1	-0.254691	-0.763502
PARL	17.1528	16.9286	16.9167	17.1415	16.7659	16.9899	17.0782	16.4839			3	4	0.670657	1	0.20546	1.3915
GDPGP1	14.8971	14.5465	15.0221	14.5737	14.6901	14.455	14.6835	14.188			3	4	0.749901	1	0.255683	1.52596
RBM47	17.3771	17.5143	17.6102	17.5288	17.4366	17.4976	17.6198	17.6531			4	4	0.257751	1	-0.0441852	-0.629218
TTC26	15.3965	12.2746	15.5307	15.0888	15.3482	15.5791	15.3325	14.3178			3	4	0.290429	1	-0.571747	-0.696202
UBA6	19.5416	19.537	19.5127	19.4863	19.5572	19.4834	19.5045	19.4176			4	4	0.400879	1	0.0287514	0.911236
ESYT2	18.0497	18.2852	18.3249	18.1863	18.2582	18.2936	18.352	18.3509			4	4	0.770388	1	-0.102144	-1.56045
MED19	15.0873	15.6712	16.3261	16.335	16.1531	16.235	16.4042	16.4699			4	4	0.731271	1	-0.460626	-1.49451
KIAA1598	18.7517	18.8936	18.8699	18.8493	18.8753	18.8311	18.858	18.8484			4	4	0.14081	1	-0.0120711	-0.371422
ARHGAP10	15.7311	15.1761	14.8939	15.2769	14.5761	15.0516	14.8692	15.3033			4	4	0.663176	1	0.319473	1.37871
FAM168B	15.4603	14.709	15.4586	14.3879	14.8765	14.44	14.4937	14.6609			4	4	0.640358	1	0.386166	1.33955
ILVBL	17.7265	18.2386	18.2238	18.1439	18.3758	18.2646	18.0536	18.162			4	4	0.41662	1	-0.130799	-0.940723
PLEKHG3	17.9617	18.2593	18.1623	18.3171	17.9255	18.1769	18.0192	18.1215			4	4	0.556251	1	0.114329	1.19325
SH3PXD2B	17.7885	18.011	17.8838	17.9175	17.898	17.8996	17.892	17.9007			4	4	0.0196254	1	0.00265551	0.0577582
NBAS	14.4138	15.6885	15.7765	15.6638	15.7718	15.5789	15.688	15.6775			4	4	0.393074	1	-0.293389	-0.896522
TARSL2	15.1803	14.9759	14.207	14.3761	13.862	14.4925	13.6771	14.2953			4	4	1.04029	1	0.60309	2.01012
VWA8	21.0577	21.2174	21.2736	21.1445	21.1882	21.0284	21.1275	21.1496			4	4	0.374824	1	0.0498366	0.861862
SBNO1	16.9935	17.1205	17.0066	17.1912	17.1245	16.9871	17.0598	17.0069			4	4	0.240152	1	0.0334225	0.592359
GTPBP10	15.1011	16.1401	16.1918	16.1236	15.8321	16.1088	16.0775	15.9617			4	4	0.149398	1	-0.105903	-0.391537
