#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PD_8h.txt#:type=:list
#Associated Gene Name	XPD_8h_Rep1	XPD_8h_Rep2	XPD_8h_Rep3	XPD_8h_Rep4	XDMSO_8h_Rep1_1	XDMSO_8h_Rep2_1	XDMSO_8h_Rep3_1	XDMSO_8h_Rep4_1	C: Student's T-test Significant PD_8h_DMSO_8h	C: Student's T-test significant	N: Valid values XPD_8h	N: Valid values XDMSO_8h	N: -Log Student's T-test p-value PD_8h_DMSO_8h	N: Student's T-test q-value PD_8h_DMSO_8h	N: Student's T-test Difference PD_8h_DMSO_8h	N: Student's T-test Test statistic PD_8h_DMSO_8h
GNG10	18.5802	17.3697	17.998	16.3267	17.6104	18.2605	17.677	16.888			4	4	0.0246651	0.995001	-0.0402989	-0.0722002
TMA7	14.8543	12.5343	13.6737	13.8362	16.0556	18.2451	14.2261	16.927			4	4	1.46494	0.542692	-2.63883	-2.72789
ALG9	17.0362	17.6042	17.408	17.5048	17.5352	17.3862	17.5654	17.3569			4	4	0.215507	0.936763	-0.0726376	-0.539713
ARHGEF18	15.4301	15.103	15.0773	15.6688	15.1912	15.2218	14.7569	15.2327			4	4	0.561695	0.875328	0.219121	1.20283
TMED7	17.9305	17.8853	17.8874	17.81	17.8669	17.8854	17.8947	17.9376			4	4	0.249565	0.934546	-0.0178533	-0.612147
ZFP91	14.7366	15.3632	15.3505	15.387	14.945	14.824	15.3953	15.4368			4	4	0.097564	0.975659	0.0590515	0.266473
C15orf38	16.9492	16.7018	16.75	16.6311	16.6813	16.4851	17.1019	16.7428			4	4	0.012066	0.998501	0.00521612	0.0358049
RPL17	22.0351	21.9685	21.9613	22.1628	21.9444	21.8576	22.022	22.0331			4	4	0.499473	0.888518	0.0676279	1.09229
PPAN	17.7186	17.5352	17.6022	17.5548	17.528	17.5594	17.7048	17.615			4	4	0.00546292	0.998354	0.00092268	0.0163309
SRCAP	16.1196	16.2154	16.1807	16.3034	16.0376	16.1079	16.273	15.8438			4	4	0.698	0.841075	0.139221	1.43811
ZNF320	15.3015	14.2895	14.2698	14.3172	15.2555	15.3187	14.0742	14.7673			4	4	0.347089	0.927222	-0.309443	-0.808455
ZNF845	15.3015	14.2895	14.2698	14.3172	15.2555	15.3187	14.0742	14.7673			4	4	0.347089	0.927222	-0.309443	-0.808455
AHR	18.0567	16.2404	16.7657	16.5218	16.1213	16.7252	16.9697	16.9308			4	4	0.183234	0.946541	0.20941	0.468754
PARL	16.8627	17.0396	17.0681	17.1105	17.1435	16.6824	17.2697	16.8776			4	4	0.0671387	0.981564	0.0268993	0.188413
GDPGP1	15.1919	14.9269	14.9068	14.6925	14.7333	14.3402	14.7181	14.5077			4	4	1.36634	0.590133	0.354714	2.5581
RBM47	17.6723	17.8451	17.6274	17.7232	17.5656	17.4938	17.6256	17.6016			4	4	1.41347	0.570528	0.145333	2.63894
TTC26	15.1265	15.3212	15.0996	14.8909	14.3493	13.9136	15.6594	15.1531			4	4	0.36711	0.922448	0.340704	0.847099
UBA6	19.4994	19.4514	19.4702	19.5221	19.4447	19.4475	19.4763	19.5043			4	4	0.362878	0.925545	0.0175905	0.83897
ESYT2	18.2714	18.2703	18.3998	18.2636	18.2812	18.3586	18.3777	18.361			4	4	0.505274	0.889696	-0.0433698	-1.1027
