#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI_0.5h.txt#:type=:list
#Associated Gene Name	XPI_0_5h_Rep1	XPI_0_5h_Rep2	XPI_0_5h_Rep3	XPI_0_5h_Rep4	XDMSO_0_5h_Rep1_1	XDMSO_0_5h_Rep2_1	XDMSO_0_5h_Rep3_1	XDMSO_0_5h_Rep4_1	C: Student's T-test Significant PI_0.5h_DMSO_0.5h	C: Student's T-test significant	N: Valid values XPI_0.5h	N: Valid values XDMSO_0.5h	N: -Log Student's T-test p-value PI_0.5h_DMSO_0.5h	N: Student's T-test q-value PI_0.5h_DMSO_0.5h	N: Student's T-test Difference PI_0.5h_DMSO_0.5h	N: Student's T-test Test statistic PI_0.5h_DMSO_0.5h
GNG10	18.4237	17.1485	17.3832	17.4351	17.6969	17.4215	17.5311	16.9497			4	4	0.248205	0.890979	0.197832	0.609298
TMA7	17.4034	12.6362	15.7507	15.0712	16.1581	16.8606	16.7289	18.8461			4	4	0.842358	0.596129	-1.93305	-1.68099
ALG9	17.3471	17.1729	17.532	17.3127	17.545	17.4038	17.5847	17.3813			4	4	0.755264	0.638882	-0.137511	-1.535
ARHGEF18	15.3591	15.1675	15.3837	15.4377	15.2817	15.1841	14.4608	15.3233			4	4	0.6179	0.696605	0.274528	1.30081
TMED7	17.9157	17.8739	17.8979	17.8966	17.7408	17.7376	17.9257	18.0339			4	4	0.196261	0.920353	0.0365262	0.497691
ZFP91	15.1123	15.4896	15.445	15.3244	14.8581	15.3736	15.4406	15.201			4	4	0.343838	0.83421	0.124492	0.802133
C15orf38	15.8214	16.6059	16.4871	16.3689	16.7693	16.5236	17.2111	16.0735			4	4	0.503832	0.754658	-0.323546	-1.10011
RPL17	21.9935	22.1247	22.0632	22.0543	21.874	21.9307	21.9832	22.0105			4	4	1.45383	0.490962	0.109335	2.70864
PPAN	17.6041	17.6842	17.7029	17.7064	17.6379	17.63	17.5839	17.5782			4	4	1.24414	0.533844	0.0668936	2.35078
SRCAP	16.2245	16.251	16.0255	16.1923	16.1792	16.2198	16.0233	15.8902			4	4	0.47359	0.766868	0.095201	1.04554
AHR	16.5271	16.1244	16.3884	16.1711	15.9773	15.8853	16.7264	16.292			4	4	0.148326	0.939224	0.0824811	0.389038
