#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/abundance/PI_2h.txt#:type=:list
#Associated Gene Name	XPI_2h_Rep1	XPI_2h_Rep2	XPI_2h_Rep3	XPI_2h_Rep4	XDMSO_2h_Rep1_1	XDMSO_2h_Rep2_1	XDMSO_2h_Rep3_1	XDMSO_2h_Rep4_1	C: Student's T-test Significant PI_2h_DMSO_2h	C: Student's T-test significant	N: Valid values XPI_2h	N: Valid values XDMSO_2h	N: -Log Student's T-test p-value PI_2h_DMSO_2h	N: Student's T-test q-value PI_2h_DMSO_2h	N: Student's T-test Difference PI_2h_DMSO_2h	N: Student's T-test Test statistic PI_2h_DMSO_2h
GNG10	17.9778	17.9361	17.2297	17.949	18.241	17.7614	17.8154	17.3437			4	4	0.0226995	0.988227	-0.0171795	-0.0665855
TMA7	16.1592	12.1413	14.591	15.2089	14.4617	16.508	16.2799	19.0797			3	4	0.798377	0.534564	-2.05724	-1.60744
ALG9	17.1706	17.3636	17.3246	17.2704	17.3601	17.6168	17.6662	17.4431			4	4	1.54782	0.320587	-0.239249	-2.87274
ARHGEF18	15.3226	14.9209	15.277	15.1694	15.3525	15.0095	14.8205	15.4162			4	4	0.0476462	0.975086	0.0228257	0.136231
TMED7	18.0387	17.9566	17.8368	17.9503	17.841	17.8508	17.8908	18.0839			4	4	0.158238	0.907181	0.0289769	0.412015
ZFP91	15.0463	15.4865	15.5223	15.4414	15.1784	15.1505	15.2407	15.2885			4	4	0.669833	0.591829	0.15959	1.39009
C15orf38	16.4515	16.4704	16.7434	16.6633	17.2034	16.7372	16.93	16.8891			4	4	1.59689	0.307438	-0.357783	-2.95949
RPL17	22.0147	22.0935	22.1431	22.2118	21.9233	21.8763	22.0465	21.9743			4	4	1.56753	0.311423	0.160661	2.90748
PPAN	17.7638	17.7243	17.696	17.681	17.698	17.5813	17.5338	17.5586			4	4	1.63929	0.291293	0.123363	3.03512
SRCAP	16.1843	16.1763	16.2653	16.2854	16.0652	15.7898	16.1263	16.0879			4	4	1.37639	0.338077	0.210502	2.57529
ZNF320	15.4606	14.4618	14.5238	14.5427	14.2869	14.1439	13.9482	15.3632			4	3	0.335516	0.776108	0.311668	0.785887
ZNF845	15.4606	14.4618	14.5238	14.5427	14.2869	14.1439	13.9482	15.3632			4	3	0.335516	0.776108	0.311668	0.785887
AHR	16.2495	16.1334	16.3599	16.0937	16.456	17.2222	16.7487	16.3333			4	4	1.23064	0.381923	-0.480946	-2.32805
PARL	16.9701	16.774	16.5202	16.9031	17.635	17.7319	17.3098	16.3941			3	4	0.725147	0.568114	-0.475851	-1.48415
GDPGP1	14.3793	15.1276	14.8914	14.8629	15.6403	15.4466	14.9082	13.1117			4	4	0.0220118	0.988611	0.0385878	0.0646157
RBM47	17.5797	17.4789	17.6213	17.5696	17.3558	17.441	17.5636	17.7088			4	4	0.218827	0.86477	0.045084	0.54688
TTC26	13.6903	15.1917	14.9842	15.5364	16.8056	16.1674	14.6074	14.309			4	4	0.37234	0.756837	-0.621689	-0.857115
UBA6	19.5674	19.4761	19.5034	19.534	19.4904	19.4584	19.4838	19.444			4	4	1.19711	0.388918	0.0510755	2.27173
ESYT2	18.3924	18.3441	18.4178	18.3021	18.2631	18.2886	18.3469	18.4005			4	4	0.438451	0.71431	0.03931	0.981225
MED19	16.49	15.8561	16.1507	16.5901	16.2616	16.2413	16.4468	16.3019			4	4	0.0858508	0.951261	-0.0411549	-0.236876
KIAA1598	18.9081	18.9062	18.9251	18.8676	18.8333	18.8778	18.8833	18.9244			4	4	0.443837	0.713464	0.0220556	0.991151
ARHGAP10	15.2727	15.7337	15.0336	15.2698	15.5001	15.7518	14.977	14.7251			4	4	0.11971	0.932873	0.0889618	0.321018
FAM168B	15.3085	14.2522	14.5337	15.9037	15.5255	14.3592	14.9902	14.6952			4	4	0.0863571	0.950885	0.107	0.238166
ILVBL	17.7652	18.3024	18.1585	18.1916	18.9187	18.5212	18.2354	18.0533			4	4	0.720233	0.571847	-0.327718	-1.47583
PLEKHG3	18.0441	18.2757	18.2011	18.214	17.9779	18.2464	18.1245	18.1947			4	4	0.256665	0.83245	0.0478597	0.62696
SH3PXD2B	18.0185	18.0218	17.9639	17.9636	18.0288	17.9772	17.8685	17.8025			4	4	0.647393	0.604119	0.0727205	1.35164
NBAS	15.5849	15.4488	15.6051	15.6404	15.7126	15.5052	15.7217	15.4149			4	4	0.0773969	0.957148	-0.0187733	-0.215167
TARSL2	14.3002	14.5894	14.7302	14.5178	14.4797	14.6592	14.3452	13.7013			4	4	0.475458	0.694375	0.23807	1.04893
VWA8	21.2003	21.2274	21.3352	21.2548	21.1163	21.0565	21.155	21.128			4	4	2.11146	0.229695	0.140503	3.92734
SBNO1	16.9818	17.0428	16.9556	17.1667	17.1506	16.9471	17.0157	17.0186			4	4	0.0202117	0.990149	0.00376892	0.0594462
GTPBP10	16.1121	16.2583	16.2613	16.3238	16.1823	16.04	16.1981	15.9528			4	4	1.01521	0.446681	0.14558	1.96844
WDR91	15.5833	14.4674	15.3359	13.7763	15.2117	15.7907	15.6485	15.546			3	4	0.886842	0.502643	-0.758496	-1.75514
POTEF	15.6313	17.2185	15.0559	16.4883	16.992	18.0041	16.6872	16.6881			3	4	0.882874	0.504724	-0.994337	-1.74853
TMEM189	16.678	16.7897	16.7939	16.9206	16.7377	16.7571	16.551	15.4862			4	4	0.643957	0.605554	0.412543	1.34574
CNOT1	18.8645	18.8937	18.8892	18.9091	18.9689	18.872	18.8814	18.8177			4	4	0.0440948	0.976342	0.00412941	0.126522
ARHGEF35	15.4114	15.4745	15.5747	15.5391	14.9905	15.1271	15.367	15.4631			4	4	1.21579	0.385211	0.262994	2.30308
MAP1LC3B2	17.1656	16.8034	16.5654	16.9363	17.2152	16.8455	16.6188	16.6681			4	4	0.0590488	0.968447	0.0307961	0.166977
MAP1LC3B	17.1656	16.8034	16.5654	16.9363	17.2152	16.8455	16.6188	16.6681			4	4	0.0590488	0.968447	0.0307961	0.166977
FAM83G	16.1215	16.0693	15.9625	15.9996	15.9378	15.8306	16.0989	15.7172			4	4	0.795708	0.536163	0.142099	1.60296
PGP	18.3053	18.3327	18.2134	18.3023	18.3245	18.394	18.3077	18.4448			4	4	0.995331	0.455448	-0.0793242	-1.93543
C5orf51	16.2481	16.2561	16.2048	16.364	15.3522	15.9406	16.3554	16.1817			4	4	0.677196	0.588325	0.310756	1.40267
TUBAL3	17.8694	18.027	18.2425	19.027	18.8107	18.4603	18.4208	18.2781			4	4	0.300385	0.800761	-0.200997	-0.716264
SMCHD1	17.6777	17.6584	17.7417	17.6035	17.4938	17.5787	17.6232	17.626			4	4	1.11913	0.417387	0.0899396	2.14134
GATSL2	15.2098	15.2557	15.3709	15.3679	15.1966	15.1776	15.1125	14.677			4	4	1.04274	0.435944	0.260136	2.01419
UNC119B	16.6095	16.5389	16.8273	16.6684	16.835	16.9457	16.7735	16.9168			4	4	1.52747	0.322313	-0.206697	-2.83697
METTL15	15.3069	15.3654	15.4445	15.1919	15.3903	15.0056	15.0641	15.0233			4	4	1.01213	0.447918	0.206336	1.96332
CCDC85C	16.1784	16.4468	16.1598	16.0698	16.1358	16.0264	15.887	16.0603			4	4	0.99263	0.454098	0.18631	1.93094
RGPD3	18.9594	18.9431	18.9776	18.9023	18.87	18.9122	18.9257	18.9285			4	4	0.875402	0.508356	0.0364499	1.73609
