#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/ptm/PTM_collapsed_log2_norm_imp_18517.txt#:type=:list
#PTM collapse key	X5Z_0_5h_Rep1	X5Z_0_5h_Rep2	X5Z_0_5h_Rep3	X5Z_0_5h_Rep4	X5Z_2h_Rep1	X5Z_2h_Rep2	X5Z_2h_Rep3	X5Z_2h_Rep4	X5Z_8h_Rep1	X5Z_8h_Rep2	X5Z_8h_Rep3	X5Z_8h_Rep4	XCONTROL_0h_Rep1	XCONTROL_0h_Rep2	XCONTROL_0h_Rep3	XCONTROL_0h_Rep4	XCTRL_0h_Rep1_2	XCTRL_0h_Rep2_2	XCTRL_0h_Rep3_2	XCTRL_0h_Rep4_2	XDMSO_0_5h_Rep1	XDMSO_0_5h_Rep1_2	XDMSO_0_5h_Rep2	XDMSO_0_5h_Rep2_2	XDMSO_0_5h_Rep3	XDMSO_0_5h_Rep3_2	XDMSO_0_5h_Rep4	XDMSO_2h_Rep1	XDMSO_2h_Rep1_2	XDMSO_2h_Rep2	XDMSO_2h_Rep2_2	XDMSO_2h_Rep3	XDMSO_2h_Rep3_2	XDMSO_2h_Rep4	XDMSO_8h_Rep1	XDMSO_8h_Rep1_2	XDMSO_8h_Rep2	XDMSO_8h_Rep2_2	XDMSO_8h_Rep3	XDMSO_8h_Rep3_2	XDMSO_8h_Rep4	XPD_0_5h_Rep1	XPD_0_5h_Rep2	XPD_0_5h_Rep3	XPD_0_5h_Rep4	XPD_2h_Rep1	XPD_2h_Rep2	XPD_2h_Rep3	XPD_2h_Rep4	XPD_8h_Rep1	XPD_8h_Rep2	XPD_8h_Rep3	XPD_8h_Rep4	XPI_0_5h_Rep1	XPI_0_5h_Rep2	XPI_0_5h_Rep3	XPI_0_5h_Rep4	XPI_2h_Rep1	XPI_2h_Rep2	XPI_2h_Rep3	XPI_2h_Rep4	XPI_8h_Rep1	XPI_8h_Rep2	XPI_8h_Rep3	XPI_8h_Rep4	XPI5Z_0_5h_Rep1	XPI5Z_0_5h_Rep2	XPI5Z_0_5h_Rep3	XPI5Z_0_5h_Rep4	XPI5Z_2h_Rep1	XPI5Z_2h_Rep2	XPI5Z_2h_Rep3	XPI5Z_2h_Rep4	XPI5Z_8h_Rep1	XPI5Z_8h_Rep2	XPI5Z_8h_Rep3	XPI5Z_8h_Rep4	XPIPD_0_5h_Rep1	XPIPD_0_5h_Rep2	XPIPD_0_5h_Rep3	XPIPD_0_5h_Rep4	XPIPD_2h_Rep1	XPIPD_2h_Rep2	XPIPD_2h_Rep3	XPIPD_2h_Rep4	XPIPD_8h_Rep1	XPIPD_8h_Rep2	XPIPD_8h_Rep3	XPIPD_8h_Rep4
AAAS_S541_M1	15.24224082	14.52745334	14.61338063	14.86516697	14.5903402	14.8991703	14.6229796	14.57801966	11.08243399	11.36806213	11.47604394	11.13678143	14.07873208	14.04099752	14.21451207	13.59299431	14.62052385	14.65845556	14.6582701	14.93373272	14.72994831	14.58552228	14.22174589	14.30063256	14.00141921	13.79213183	14.26486126	15.03978085	14.98480243	14.72362806	14.88020268	14.55426043	13.9442905	14.68659404	14.50308943	13.11526386	14.56377834	13.80858571	13.72367991	13.76498467	13.56228624	10.99648255	11.4265415	11.40390211	11.4767954	11.19765681	11.41869582	11.38802024	11.42178197	11.15442398	11.49607079	11.26783793	11.32669616	15.54900512	15.29019542	15.17701882	15.23822854	12.99689084	14.35398624	15.09897974	14.38777334	15.52659005	15.00484112	15.26916373	14.99254758	13.50149713	14.57027725	14.82677644	14.51866398	13.03950176	13.91481523	13.98949357	13.48245222	10.78556952	11.20589014	11.30758416	11.18662747	15.17856315	14.78064139	14.58042991	14.55168138	11.33036898	11.54216634	11.34834482	11.44976991	14.61696654	14.50164327	14.51220769	14.68897407
AAAS_T27_M1	15.69037765	15.52549119	15.89942135	15.42732018	16.1398078	16.32567581	16.14800812	16.36019979	16.02164364	15.56564966	15.37292877	15.3833048	15.83046543	16.09984448	15.32525339	15.68188662	16.09822861	16.13691012	15.78689097	14.97014228	16.1725858	16.20311332	16.36223874	16.28432811	16.61609485	16.60841048	16.60503244	16.22231587	16.81196094	15.88829339	15.38574905	16.35925298	16.93900735	16.09772694	15.73285046	15.84197759	15.53499695	15.84757384	16.68669125	16.94047579	15.74695097	17.05370624	16.2878882	15.73663536	16.10042881	16.45261509	15.29538472	15.30956462	16.69622624	14.28926977	15.63812208	16.18691466	15.8349865	14.7979986	15.86125583	16.41499511	16.28894596	14.96818214	15.27617017	15.77860501	15.59720246	15.44743545	15.74698889	16.26113109	15.94342612	15.65699909	15.58110046	15.72319706	16.40593878	15.51016294	15.37235344	15.55469329	15.44775874	15.84694042	15.25690866	16.39931582	15.42251714	15.0428341	15.97717839	16.08361393	15.94636495	16.43543451	16.17413001	15.61653038	16.33382507	15.81022486	15.60266972	15.40218311	15.65612844
AAK1_S624_M2	18.17715731	20.55885126	20.77019457	19.99770087	20.58373072	20.23770108	20.82616929	20.64486505	20.57082202	20.40935657	20.38537053	19.91779912	20.55995104	20.12082606	20.69239469	20.17348508	20.41895704	20.65597531	19.96026676	20.0012503	20.00776298	21.10044507	20.99481187	21.155988	21.23951285	21.32827834	21.13776008	20.6392003	22.07924143	20.81263222	20.2676355	20.70003038	21.23437218	21.59157426	20.14983595	21.59201689	20.83668294	21.21780051	21.50582305	20.78053435	21.41872206	20.32766764	20.05735021	20.26259102	20.25062533	20.2801464	20.19074072	20.24789927	20.15043861	20.55820759	20.29181569	20.10323215	20.04597841	20.38557442	20.37874358	20.54088479	20.3018457	20.60684259	20.75009519	20.27395811	20.27125466	20.50811787	20.38644923	20.52200665	17.87938156	20.94180782	20.52778888	20.65114292	20.20299326	20.94424269	20.59302656	20.52409248	20.28822839	20.4117681	20.59978678	20.33017026	20.47590642	19.84135699	20.52283462	20.6671572	20.72212359	20.75095422	20.67462803	21.28279522	20.40859258	20.63157866	20.60925386	20.4739577	20.30139925
AAK1_S637_M1	14.96066476	16.78392577	17.24669824	17.30145774	13.68618673	16.60877948	16.59742545	16.97189933	16.20087712	16.64157033	15.98007258	15.88797918	12.94974125	17.20435693	16.5629937	17.1015883	15.31524229	15.4727517	17.21940211	16.80974557	16.15012164	14.71748805	16.45981047	16.26744253	16.31870776	15.99194238	16.16366867	16.41836532	15.59907623	16.5804713	16.72162116	16.75674693	15.19624576	16.55682828	16.45686358	17.07932305	17.21694966	16.03977464	14.45857442	14.57968718	15.86395807	15.26903411	16.55455087	17.3363463	17.0395369	15.68762333	17.27529139	16.67402456	16.59405913	15.25113671	16.97858424	15.55944402	15.79432408	16.61221102	16.40635834	16.95741554	16.3465163	15.69788961	16.66845197	16.93107738	16.92753848	16.71730212	16.69382757	14.95847099	16.25729425	14.71212914	16.09707803	17.43173313	16.86059132	15.79398026	16.49523464	16.9939032	16.64977872	16.09674239	15.90108144	15.29593445	14.47010231	16.63182438	16.19165903	17.34269765	16.4311893	14.41797688	16.1397071	16.07223514	16.76127376	15.9243369	16.22458417	15.4990098	15.55762307
AAK1_T389_M1	14.38371554	14.20425698	14.4097994	13.76853617	13.7125633	14.4736744	14.61374628	13.78804713	14.19357518	14.11744569	14.54528057	13.40598797	13.18458313	13.19398199	14.2837855	13.82137688	14.13452215	14.29239465	14.07589431	13.61974894	13.98520708	12.73201329	13.69487589	14.06124143	14.01379782	14.92516054	13.88434294	12.75689283	14.51939367	14.41948369	13.88614225	14.6712591	15.29744975	14.15809079	14.1921542	14.78677099	14.81485864	14.4772933	14.20873618	14.36332442	14.5771248	12.78783189	14.09998461	13.9184134	13.7643543	12.99851187	14.30863016	13.88197234	14.2562543	12.8347337	14.15552887	13.76593079	13.61858359	12.26289297	14.04871731	14.07727094	13.44890943	12.71927522	14.15891794	14.44222684	13.51225918	12.16299259	14.48568039	14.68781103	12.36866639	11.78875502	14.13184143	14.92753325	14.1182947	14.05512834	13.95393922	14.380025	13.51708925	13.49963929	13.55646343	13.80592611	13.29226858	11.87349103	14.33707527	13.38254514	14.17080524	12.2312068	14.61822063	14.74744817	14.24524767	14.2888118	14.52303847	14.65055583	13.35034871
AAK1_T606_M1	17.52678538	16.71919162	16.53349512	17.0417212	16.90093749	17.15266939	16.46372813	16.94301778	17.63842738	17.28351453	17.31543088	17.52296266	17.54407843	17.47976562	16.76844201	16.89906715	16.66753538	16.36643423	17.17636898	17.11364897	16.87932506	16.76115421	16.08011854	15.96134209	15.85001257	15.25106759	16.03266547	17.3052877	16.06997941	16.81221873	17.02032652	16.53944755	16.26528434	16.5249354	16.86976379	16.35892104	16.47887255	16.05025066	15.63662831	15.88990188	16.02221822	17.36829318	17.03035601	17.03872687	16.83964771	17.62634599	17.24852108	17.08784578	16.99600124	17.75334412	16.81032532	17.25364196	17.34633688	17.89441898	17.07299057	16.7348404	17.06306378	17.31966355	17.05905104	16.81226277	17.31244342	17.57876427	16.54361008	16.58207672	17.20528564	17.55369525	17.0845464	17.06411457	17.20885441	17.55710843	17.61530067	17.00070895	17.6158783	18.17241066	17.90906133	17.60605619	18.02006373	18.06018747	16.7843089	16.7856966	16.78603037	17.05080863	17.04312909	16.98539798	17.15461336	17.86085196	17.27875244	16.8513024	17.34331389
AAK1_T620_M1	15.60613747	14.53153247	14.31259872	14.11566417	14.62468467	14.55097709	14.30540134	14.13131119	15.20464669	15.15327846	14.90228675	15.32986367	15.63591432	15.811316	14.12394841	13.57804856	14.64805484	14.58927381	13.70711879	14.48655836	14.35594464	14.57626341	14.63895282	14.02953788	14.04600028	15.41563772	14.1024144	15.13879306	14.39636088	15.2305966	15.27022615	15.11293273	15.32914151	15.75524921	14.05306749	13.7537961	13.9274327	11.71074406	12.93793386	13.43319942	13.85851195	15.47861582	14.49024939	14.48292998	13.1537713	15.37329846	14.39654723	14.52496257	13.96527778	15.78102995	15.09274949	15.37259832	14.91054425	15.7149844	13.97979053	14.30292854	14.15013772	14.77614677	14.4011006	14.69146714	14.17630058	15.19361497	14.13367792	15.23604808	15.05116641	15.68677575	14.04270934	14.64621243	14.29205727	14.89490767	14.59730753	14.77147489	14.85877465	14.89791493	14.62609209	15.04446487	15.26149503	16.38636461	14.11367075	14.09912431	14.26530438	15.01180767	14.75872631	14.54126888	14.05182967	15.7180086	15.12286988	15.05960286	15.38690572
AAK1_T620_M2	20.46659874	21.75929463	21.95213065	21.1808349	21.76879328	21.42498834	21.98924585	21.80108447	21.73453708	21.59370129	21.56340881	21.10406173	21.71055768	21.30878466	21.90137927	21.39498723	21.573846	21.82186445	21.13261365	21.19604888	21.20293788	22.20584872	22.20073057	22.32976465	22.37197731	22.48430628	22.31084978	21.79538905	23.14691795	22.0023311	21.40847606	21.84370609	22.38886538	22.6807208	21.36525059	22.70581235	21.95352023	22.38395314	22.65710868	21.91687444	22.52324399	20.81379264	21.25505375	21.44971069	21.44653554	21.42306245	21.39843457	21.44006187	21.32338385	21.73410814	21.50638334	21.28104385	21.22580874	21.4026274	21.56680124	21.71426217	21.48307466	21.79447206	21.93395515	21.45689628	21.44028478	21.68241935	21.57175564	21.70236582	19.07879378	22.08388128	21.71931678	21.80806864	21.37190962	22.08897737	21.76676088	21.67711148	21.4406698	21.58826797	21.76254991	21.51625842	21.63265352	21.06247846	21.72048823	21.84223756	21.91288078	21.91209767	21.86749153	22.45415072	21.56991868	21.78535711	21.78637457	21.64183741	21.45096742
AASDH_S649_M1	12.9985	12.07964111	12.85929278	12.56953898	12.53711178	12.41005677	12.42741695	12.5289842	12.93589017	13.30784529	12.9211814	11.27653848	13.80970037	13.32186991	12.1223875	12.22013169	12.90153133	12.96879377	10.25486774	12.79913949	12.74145937	12.96463011	13.38185669	13.00572727	12.48335651	12.3790941	13.18502973	11.28531777	11.40362415	11.62023539	11.44463536	11.61468882	11.24936721	11.44557464	12.76713497	12.46358878	12.58026986	13.36933465	12.36024039	13.22296552	12.59379202	12.99923584	12.24117444	12.8472542	11.25073123	13.41734731	12.68474511	12.66902919	12.24119626	13.39595121	12.86461015	13.12279582	12.93053817	13.44811844	12.50465519	12.5499648	13.09454667	12.81980803	12.92288248	13.39200307	12.84556033	13.44421999	12.33528954	13.17940998	11.78192663	13.25280429	12.70682585	13.11801647	12.76123528	13.17193171	12.74198689	13.23937291	13.03408223	12.8868895	12.83118138	13.77932554	13.22456854	13.15523828	12.21072045	11.94740464	12.20709248	12.22539609	11.34556728	12.73187675	12.88828459	12.96161643	11.58358785	13.30091913	12.93877412
AATF_S203_M1	20.77100398	20.98142706	20.89289184	20.65326126	21.04791675	20.91911371	20.69582644	20.52824142	20.36769113	21.14472911	20.96897618	21.49284788	19.81857255	20.59869348	20.76613283	21.11067873	21.01060328	20.71238396	20.66654547	20.35038855	20.94744537	19.8761482	20.63159513	20.27878792	20.3139679	20.29967461	20.31598094	20.4660177	18.87398563	20.75008973	20.90833316	20.52956241	20.37427097	19.86448682	20.83250182	19.45704641	20.67444805	20.40881563	20.24267736	20.41683436	20.42900008	19.90156697	20.92465458	20.63648487	20.79671731	19.58692186	20.89454271	20.9240319	20.63168602	20.39181727	21.13690951	20.93326442	21.23885105	21.0684615	20.99729677	21.1133486	20.88236295	21.22914565	20.82017433	20.97035273	20.24299463	20.02790354	21.06007225	20.86088176	20.88446433	21.49928463	20.77108795	20.72171914	20.68130159	19.40394289	21.05531505	20.7747111	20.57588847	21.10378988	21.57650398	20.91132961	21.48922581	18.54647644	21.09302662	20.7508348	20.76644976	21.44545892	20.88245877	20.52310666	20.71435239	20.35792797	21.42696237	21.0719252	20.69916687
